"","Player","From","To","plyrprofs"
"1","Alaa Abdelnaby",1991,1995,"/players/a/abdelal01.html"
"2","Zaid Abdul-Aziz",1969,1978,"/players/a/abdulza01.html"
"3","Kareem Abdul-Jabbar*",1970,1989,"/players/a/abdulka01.html"
"4","Mahmoud Abdul-Rauf",1991,2001,"/players/a/abdulma02.html"
"5","Tariq Abdul-Wahad",1998,2003,"/players/a/abdulta01.html"
"6","Shareef Abdur-Rahim",1997,2008,"/players/a/abdursh01.html"
"7","Tom Abernethy",1977,1981,"/players/a/abernto01.html"
"8","Forest Able",1957,1957,"/players/a/ablefo01.html"
"9","John Abramovic",1947,1948,"/players/a/abramjo01.html"
"10","Álex Abrines",2017,2019,"/players/a/abrinal01.html"
"11","Alex Acker",2006,2009,"/players/a/ackeral01.html"
"12","Don Ackerman",1954,1954,"/players/a/ackerdo01.html"
"13","Mark Acres",1988,1993,"/players/a/acresma01.html"
"14","Bud Acton",1968,1968,"/players/a/actonbu01.html"
"15","Quincy Acy",2013,2019,"/players/a/acyqu01.html"
"16","Alvan Adams",1976,1988,"/players/a/adamsal01.html"
"17","Don Adams",1971,1977,"/players/a/adamsdo01.html"
"18","George Adams",1973,1975,"/players/a/adamsge01.html"
"19","Hassan Adams",2007,2009,"/players/a/adamsha01.html"
"20","Jaylen Adams",2019,2019,"/players/a/adamsja01.html"
"21","Jordan Adams",2015,2016,"/players/a/adamsjo01.html"
"22","Michael Adams",1986,1996,"/players/a/adamsmi01.html"
"23","Steven Adams",2014,2020,"/players/a/adamsst01.html"
"24","Rafael Addison",1987,1997,"/players/a/addisra01.html"
"25","Bam Adebayo",2018,2020,"/players/a/adebaba01.html"
"26","Deng Adel",2019,2019,"/players/a/adelde01.html"
"27","Rick Adelman",1969,1975,"/players/a/adelmri01.html"
"28","Jeff Adrien",2011,2015,"/players/a/adrieje01.html"
"29","Arron Afflalo",2008,2018,"/players/a/afflaar01.html"
"30","Maurice Ager",2007,2011,"/players/a/agerma01.html"
"31","Mark Aguirre",1982,1994,"/players/a/aguirma01.html"
"32","Blake Ahearn",2008,2012,"/players/a/ahearbl01.html"
"33","Danny Ainge",1982,1995,"/players/a/aingeda01.html"
"34","Matthew Aitch",1968,1968,"/players/a/aitchma01.html"
"35","Alexis Ajinça",2009,2017,"/players/a/ajincal01.html"
"36","Henry Akin",1967,1969,"/players/a/akinhe01.html"
"37","Josh Akognon",2013,2013,"/players/a/akognjo01.html"
"38","DeVaughn Akoon-Purcell",2019,2019,"/players/a/akoonde01.html"
"39","Solomon Alabi",2011,2012,"/players/a/alabiso01.html"
"40","Mark Alarie",1987,1991,"/players/a/alarima01.html"
"41","Gary Alcorn",1960,1961,"/players/a/alcorga01.html"
"42","Furkan Aldemir",2015,2015,"/players/a/aldemfu01.html"
"43","Cole Aldrich",2011,2018,"/players/a/aldrico01.html"
"44","LaMarcus Aldridge",2007,2020,"/players/a/aldrila01.html"
"45","Chuck Aleksinas",1985,1985,"/players/a/aleksch01.html"
"46","Cliff Alexander",2016,2016,"/players/a/alexacl01.html"
"47","Cory Alexander",1996,2005,"/players/a/alexaco01.html"
