"","Player","From","To","plyrprofs"
"1","Chris Babb",2014,2014,"/players/b/babbch01.html"
"2","Luke Babbitt",2011,2018,"/players/b/babbilu01.html"
"3","Miloš Babic",1991,1992,"/players/b/babicmi01.html"
"4","Johnny Bach",1949,1949,"/players/b/bachjo01.html"
"5","Dwayne Bacon",2018,2020,"/players/b/bacondw01.html"
"6","Henry Bacon",1973,1973,"/players/b/baconhe01.html"
"7","Jim Baechtold",1953,1957,"/players/b/baechji01.html"
"8","Dalibor Bagaric",2001,2003,"/players/b/bagarda01.html"
"9","John Bagley",1983,1994,"/players/b/baglejo01.html"
"10","Marvin Bagley",2019,2020,"/players/b/baglema01.html"
"11","Carl Bailey",1982,1982,"/players/b/baileca01.html"
"12","Gus Bailey",1975,1980,"/players/b/bailegu01.html"
"13","James Bailey",1980,1988,"/players/b/baileja01.html"
"14","Thurl Bailey",1984,1999,"/players/b/baileth01.html"
"15","Toby Bailey",1999,2000,"/players/b/baileto01.html"
"16","Cameron Bairstow",2015,2016,"/players/b/bairsca01.html"
"17","Jimmie Baker",1976,1976,"/players/b/bakerji01.html"
"18","LaMark Baker",1999,1999,"/players/b/bakerla01.html"
"19","Maurice Baker",2005,2005,"/players/b/bakerma01.html"
"20","Norm Baker",1947,1947,"/players/b/bakerno01.html"
"21","Ron Baker",2017,2019,"/players/b/bakerro01.html"
"22","Vin Baker",1994,2006,"/players/b/bakervi01.html"
"23","Wade Baldwin",2017,2019,"/players/b/baldwwa01.html"
"24","Renaldo Balkman",2007,2012,"/players/b/balkmre01.html"
"25","Cedric Ball",1991,1991,"/players/b/ballce01.html"
"26","Lonzo Ball",2018,2020,"/players/b/balllo01.html"
"27","Greg Ballard",1978,1989,"/players/b/ballagr01.html"
"28","Herschel Baltimore",1947,1947,"/players/b/baltihe01.html"
"29","Mohamed Bamba",2019,2020,"/players/b/bambamo01.html"
"30","Gene Banks",1982,1987,"/players/b/banksge01.html"
"31","Marcus Banks",2004,2011,"/players/b/banksma01.html"
"32","Walker Banks",1971,1971,"/players/b/bankswa01.html"
"33","Ken Bannister",1985,1991,"/players/b/bannike01.html"
"34","Mike Bantom",1974,1982,"/players/b/bantomi01.html"
"35","John Barber",1957,1957,"/players/b/barbejo01.html"
"36","Leandro Barbosa",2004,2017,"/players/b/barbole01.html"
"37","Steve Bardo",1992,1996,"/players/b/bardost01.html"
"38","J.J. Barea",2007,2020,"/players/b/bareajo01.html"
"39","Andrea Bargnani",2007,2016,"/players/b/bargnan01.html"
"40","Cliff Barker",1950,1952,"/players/b/barkecl01.html"
"41","Tom Barker",1977,1979,"/players/b/barketo01.html"
"42","Charles Barkley*",1985,2000,"/players/b/barklch01.html"
"43","Erick Barkley",2001,2002,"/players/b/barkler01.html"
"44","Don Barksdale*",1952,1955,"/players/b/barksdo01.html"
"45","Harrison Barnes",2013,2020,"/players/b/barneha02.html"
"46","Harry Barnes",1969,1969,"/players/b/barneha01.html"
"47","Jim Barnes",1965,1971,"/players/b/barneji01.html"
"48","Marvin Barnes",1975,1980,"/players/b/barnema01.html"
"49","Matt Barnes",2004,2017,"/players/b/barnema02.html"
"50","Dick Barnett",1960,1974,"/players/b/barnedi01.html"
"51","Jim Barnett",1967,1977,"/players/b/barneji02.html"
"52","Nathaniel Barnett",1976,1976,"/players/b/barnena01.html"
"53","John Barnhill",1963,1972,"/players/b/barnhjo01.html"
"54","Norton Barnhill",1977,1977,"/players/b/barnhno01.html"
"55","Leo Barnhorst",1950,1954,"/players/b/barnhle01.html"
"56","John Barr",1947,1947,"/players/b/barrjo01.html"
"57","Mike Barr",1973,1977,"/players/b/barrmi01.html"
"58","Moe Barr",1971,1971,"/players/b/barrmo01.html"
"59","Andre Barrett",2005,2008,"/players/b/barrean01.html"
"60","Ernie Barrett",1954,1956,"/players/b/barreer01.html"
"61","Mike Barrett",1970,1973,"/players/b/barremi01.html"
"62","RJ Barrett",2020,2020,"/players/b/barrerj01.html"
"63","Earl Barron",2006,2015,"/players/b/barroea01.html"
"64","Dana Barros",1990,2004,"/players/b/barroda01.html"
"65","Brent Barry",1996,2009,"/players/b/barrybr01.html"
"66","Drew Barry",1998,2000,"/players/b/barrydr01.html"
"67","Jon Barry",1993,2006,"/players/b/barryjo01.html"
"68","Rick Barry*",1966,1980,"/players/b/barryri01.html"
"69","Ed Bartels",1950,1951,"/players/b/barteed01.html"
"70","Vic Bartolome",1972,1972,"/players/b/bartovi01.html"
"71","Will Barton",2013,2020,"/players/b/bartowi01.html"
"72","Eddie Basden",2006,2006,"/players/b/basdeed01.html"
"73","Jerry Baskerville",1976,1976,"/players/b/baskeje01.html"
"74","Brandon Bass",2006,2017,"/players/b/bassbr01.html"
"75","Tim Bassett",1974,1980,"/players/b/basseti01.html"
"76","Maceo Baston",2003,2009,"/players/b/bastoma01.html"
"77","Mengke Bateer",2002,2004,"/players/b/bateeme01.html"
"78","Billy Ray Bates",1980,1983,"/players/b/batesbi01.html"
"79","Keita Bates-Diop",2019,2020,"/players/b/bateske01.html"
"80","Esteban Batista",2006,2007,"/players/b/batises01.html"
"81","Mike Batiste",2003,2003,"/players/b/batismi01.html"
"82","Tony Battie",1998,2012,"/players/b/battito01.html"
"83","Shane Battier",2002,2014,"/players/b/battish01.html"
"84","John Battle",1986,1995,"/players/b/battljo01.html"
"85","Kenny Battle",1990,1993,"/players/b/battlke01.html"
"86","Dave Batton",1983,1984,"/players/b/battoda01.html"
"87","Lloyd Batts",1975,1975,"/players/b/battsll01.html"
"88","Nicolas Batum",2009,2020,"/players/b/batumni01.html"
"89","Johnny Baum",1970,1974,"/players/b/baumjo01.html"
"90","Frankie Baumholtz",1947,1947,"/players/b/baumhfr01.html"
"91","Lonny Baxter",2003,2006,"/players/b/baxtelo01.html"
"92","Jerryd Bayless",2009,2019,"/players/b/bayleje01.html"
"93","Elgin Baylor*",1959,1972,"/players/b/bayloel01.html"
"94","Howard Bayne",1968,1968,"/players/b/bayneho01.html"
"95","Aron Baynes",2013,2020,"/players/b/baynear01.html"
"96","Sergei Bazarevich",1995,1995,"/players/b/bazarse01.html"
"97","Kent Bazemore",2013,2020,"/players/b/bazemke01.html"
"98","Darius Bazley",2020,2020,"/players/b/bazleda01.html"
"99","Ed Beach",1951,1951,"/players/b/beached01.html"
"100","Bradley Beal",2013,2020,"/players/b/bealbr01.html"
"101","Al Beard",1968,1968,"/players/b/beardal01.html"
"102","Butch Beard",1970,1979,"/players/b/beardbu01.html"
"103","Ralph Beard",1950,1951,"/players/b/beardra01.html"
"104","Charles Beasley",1968,1971,"/players/b/beaslch01.html"
"105","Jerome Beasley",2004,2004,"/players/b/beaslje01.html"
"106","John Beasley",1968,1974,"/players/b/beasljo01.html"
"107","Malik Beasley",2017,2020,"/players/b/beaslma01.html"
"108","Michael Beasley",2009,2019,"/players/b/beaslmi01.html"
"109","Zelmo Beaty*",1963,1975,"/players/b/beatyze01.html"
"110","Rodrigue Beaubois",2010,2013,"/players/b/beaubro01.html"
"111","Byron Beck",1968,1977,"/players/b/beckby01.html"
"112","Corey Beck",1996,1999,"/players/b/beckco01.html"
"113","Ernie Beck",1954,1961,"/players/b/becker01.html"
"114","Arthur Becker",1968,1973,"/players/b/beckear01.html"
"115","Moe Becker",1947,1947,"/players/b/beckemo01.html"
"116","Bob Bedell",1968,1971,"/players/b/bedelbo01.html"
"117","William Bedford",1987,1993,"/players/b/bedfowi01.html"
"118","Hank Beenders",1947,1949,"/players/b/beendha01.html"
"119","Ron Behagen",1974,1980,"/players/b/behagro01.html"
"120","Elmer Behnke",1952,1952,"/players/b/behnkel01.html"
"121","Marco Belinelli",2008,2020,"/players/b/belinma01.html"
"122","Charlie Bell",2002,2011,"/players/b/bellch01.html"
"123","Dennis Bell",1974,1976,"/players/b/bellde01.html"
"124","Jordan Bell",2018,2020,"/players/b/belljo01.html"
"125","Raja Bell",2001,2012,"/players/b/bellra01.html"
"126","Troy Bell",2004,2004,"/players/b/belltr01.html"
"127","Whitey Bell",1960,1961,"/players/b/bellwh01.html"
"128","Walt Bellamy*",1962,1975,"/players/b/bellawa01.html"
"129","DeAndre' Bembry",2017,2020,"/players/b/bembrde01.html"
"130","Irv Bemoras",1954,1957,"/players/b/bemorir01.html"
"131","Leon Benbow",1975,1976,"/players/b/benbole01.html"
"132","Dragan Bender",2017,2020,"/players/b/bendedr01.html"
"133","Jonathan Bender",2000,2010,"/players/b/bendejo01.html"
"134","Jerrelle Benimon",2015,2015,"/players/b/benimje01.html"
"135","Benoit Benjamin",1986,2000,"/players/b/benjabe01.html"
"136","Corey Benjamin",1999,2003,"/players/b/benjaco01.html"
"137","Anthony Bennett",2014,2017,"/players/b/bennean01.html"
"138","Elmer Bennett",1995,1997,"/players/b/benneel01.html"
"139","Mario Bennett",1996,2000,"/players/b/bennema01.html"
"140","Mel Bennett",1976,1982,"/players/b/benneme01.html"
"141","Spider Bennett",1969,1969,"/players/b/bennesp01.html"
"142","Tony Bennett",1993,1995,"/players/b/benneto01.html"
"143","Winston Bennett",1990,1992,"/players/b/bennewi01.html"
"144","David Benoit",1992,2001,"/players/b/benoida01.html"
"145","Keith Benson",2012,2012,"/players/b/bensoke02.html"
