"","Player","From","To","plyrprofs"
"1","Žarko Cabarkapa",2004,2006,"/players/c/cabarza01.html"
"2","Barney Cable",1959,1964,"/players/c/cableba01.html"
"3","Bruno Caboclo",2015,2020,"/players/c/cabocbr01.html"
"4","Jason Caffey",1996,2003,"/players/c/caffeja01.html"
"5","Michael Cage",1985,2000,"/players/c/cagemi01.html"
"6","Gerry Calabrese",1951,1952,"/players/c/calabge01.html"
"7","Nick Calathes",2014,2015,"/players/c/calatni01.html"
"8","José Calderón",2006,2019,"/players/c/caldejo01.html"
"9","Adrian Caldwell",1990,1998,"/players/c/caldwad01.html"
"10","Jim Caldwell",1968,1969,"/players/c/caldwji01.html"
"11","Joe Caldwell",1965,1975,"/players/c/caldwjo01.html"
"12","Kentavious Caldwell-Pope",2014,2020,"/players/c/caldwke01.html"
"13","Bill Calhoun",1949,1955,"/players/c/calhobi01.html"
"14","Corky Calhoun",1973,1980,"/players/c/calhoco01.html"
"15","Demetrius Calip",1992,1992,"/players/c/calipde01.html"
"16","Tom Callahan",1947,1947,"/players/c/callato01.html"
"17","Rick Calloway",1991,1991,"/players/c/callori01.html"
"18","Ernie Calverley",1947,1949,"/players/c/calveer01.html"
"19","Mack Calvin",1970,1981,"/players/c/calvima01.html"
"20","Dexter Cambridge",1993,1993,"/players/c/cambrde01.html"
"21","Marcus Camby",1997,2013,"/players/c/cambyma01.html"
"22","Elden Campbell",1991,2005,"/players/c/campbel01.html"
"23","Tony Campbell",1985,1995,"/players/c/campbto01.html"
"24","Isaiah Canaan",2014,2019,"/players/c/canaais01.html"
"25","Vlatko Cancar",2020,2020,"/players/c/cancavl01.html"
"26","Larry Cannon",1970,1974,"/players/c/cannola01.html"
"27","Clint Capela",2015,2020,"/players/c/capelca01.html"
"28","Derrick Caracter",2011,2011,"/players/c/caracde01.html"
"29","Frank Card",1969,1973,"/players/c/cardfr01.html"
"30","Brian Cardinal",2001,2012,"/players/c/cardibr01.html"
"31","Howie Carl",1962,1962,"/players/c/carlho01.html"
"32","Chet Carlisle",1947,1947,"/players/c/carlich01.html"
"33","Geno Carlisle",2005,2005,"/players/c/carlige01.html"
"34","Rick Carlisle",1985,1990,"/players/c/carliri01.html"
"35","Don Carlos",1969,1969,"/players/c/carlodo01.html"
"36","Al Carlson",1976,1976,"/players/c/carlsal01.html"
"37","Don Carlson",1947,1951,"/players/c/carlsdo01.html"
"38","Bob Carney",1955,1955,"/players/c/carnebo01.html"
"39","Rodney Carney",2007,2011,"/players/c/carnero01.html"
"40","Bob Carpenter",1950,1951,"/players/c/carpebo01.html"
"41","Antoine Carr",1985,2000,"/players/c/carran01.html"
"42","Austin Carr",1972,1981,"/players/c/carrau01.html"
"43","Chris Carr",1996,2001,"/players/c/carrch01.html"
"44","Cory Carr",1999,1999,"/players/c/carrco01.html"
"45","Kenny Carr",1978,1987,"/players/c/carrke01.html"
"46","M.L. Carr",1976,1985,"/players/c/carrml01.html"
"47","Darel Carrier",1968,1973,"/players/c/carrida01.html"
"48","Bob Carrington",1978,1980,"/players/c/carribo01.html"
"49","DeMarre Carroll",2010,2020,"/players/c/carrode01.html"
"50","Joe Barry Carroll",1981,1991,"/players/c/carrojo01.html"
"51","Matt Carroll",2004,2013,"/players/c/carroma01.html"
"52","Jimmy Carruth",1997,1997,"/players/c/carruji01.html"
"53","Anthony Carter",2000,2012,"/players/c/cartean01.html"
"54","Butch Carter",1981,1986,"/players/c/cartebu01.html"
"55","Fred Carter",1970,1977,"/players/c/cartefr01.html"
"56","George Carter",1968,1976,"/players/c/cartege01.html"
"57","Howard Carter",1984,1985,"/players/c/carteho01.html"
"58","Jake Carter",1950,1950,"/players/c/carteja01.html"
"59","Jevon Carter",2019,2020,"/players/c/carteje01.html"
"60","Maurice Carter",2004,2004,"/players/c/cartema01.html"
"61","Reggie Carter",1981,1982,"/players/c/cartere01.html"
"62","Ron Carter",1979,1980,"/players/c/cartero01.html"
"63","Vince Carter",1999,2020,"/players/c/cartevi01.html"
"64","Wendell Carter",2019,2020,"/players/c/cartewe01.html"
"65","Michael Carter-Williams",2014,2020,"/players/c/cartemi01.html"
"66","Bill Cartwright",1980,1995,"/players/c/cartwbi01.html"
"67","Jay Carty",1969,1969,"/players/c/cartyja01.html"
"68","Alex Caruso",2018,2020,"/players/c/carusal01.html"
"69","Cornelius Cash",1977,1977,"/players/c/cashco01.html"
"70","Sam Cash",1973,1973,"/players/c/cashsa01.html"
"71","Sam Cassell",1994,2008,"/players/c/cassesa01.html"
"72","Omri Casspi",2010,2019,"/players/c/casspom01.html"
"73","Harvey Catchings",1975,1985,"/players/c/catchha01.html"
"74","Terry Catledge",1986,1993,"/players/c/catlete01.html"
"75","Sid Catlett",1972,1972,"/players/c/catlesi01.html"
"76","Kelvin Cato",1998,2007,"/players/c/catoke01.html"
"77","Bobby Cattage",1982,1986,"/players/c/cattabo01.html"
"78","Willie Cauley-Stein",2016,2020,"/players/c/caulewi01.html"
"79","Troy Caupain",2019,2019,"/players/c/caupatr01.html"
"80","Duane Causwell",1991,2001,"/players/c/causwdu01.html"
"81","Tyler Cavanaugh",2018,2019,"/players/c/cavanty01.html"
"82","Ron Cavenall",1985,1989,"/players/c/cavenro01.html"
"83","Cedric Ceballos",1991,2001,"/players/c/cebalce01.html"
"84","John Celestand",2000,2000,"/players/c/celesjo01.html"
"85","Al Cervi*",1950,1953,"/players/c/cervial01.html"
"86","Lionel Chalmers",2005,2005,"/players/c/chalmli01.html"
"87","Mario Chalmers",2009,2018,"/players/c/chalmma01.html"
"88","Bill Chamberlain",1973,1974,"/players/c/chambbi01.html"
"89","Wilt Chamberlain*",1960,1973,"/players/c/chambwi01.html"
"90","Jerry Chambers",1967,1974,"/players/c/chambje01.html"
"91","Tom Chambers",1982,1998,"/players/c/chambto01.html"
"92","Mike Champion",1989,1989,"/players/c/champmi01.html"
"93","Tyson Chandler",2002,2020,"/players/c/chandty01.html"
"94","Wilson Chandler",2008,2020,"/players/c/chandwi01.html"
"95","Don Chaney",1969,1980,"/players/c/chanedo01.html"
"96","John Chaney",1950,1950,"/players/c/chanejo01.html"
"97","Rex Chapman",1989,2000,"/players/c/chapmre01.html"
"98","Wayne Chapman",1969,1972,"/players/c/chapmwa01.html"
"99","Len Chappell",1963,1972,"/players/c/chapple01.html"
"100","Ken Charles",1974,1978,"/players/c/charlke01.html"
"101","Lorenzo Charles",1986,1986,"/players/c/charllo01.html"
"102","Joe Chealey",2019,2020,"/players/c/chealjo01.html"
"103","Calbert Cheaney",1994,2006,"/players/c/cheanca01.html"
"104","Zylan Cheatham",2020,2020,"/players/c/cheatzy01.html"
"105","Maurice Cheeks*",1979,1993,"/players/c/cheekma01.html"
"106","Phil Chenier",1972,1981,"/players/c/cheniph01.html"
"107","Will Cherry",2015,2015,"/players/c/cherrwi01.html"
"108","Derrick Chievous",1989,1991,"/players/c/chievde01.html"
"109","Pete Chilcutt",1992,2000,"/players/c/chilcpe01.html"
"110","Josh Childress",2005,2014,"/players/c/childjo01.html"
"111","Randolph Childress",1996,1997,"/players/c/childra01.html"
"112","Chris Childs",1995,2003,"/players/c/childch01.html"
"113","Chris Chiozza",2019,2020,"/players/c/chiozch01.html"
"114","Leroy Chollet",1950,1951,"/players/c/chollle01.html"
"115","Jim Chones",1973,1982,"/players/c/choneji01.html"
"116","Marquese Chriss",2017,2020,"/players/c/chrisma01.html"
"117","Fred Christ",1955,1955,"/players/c/chrisfr01.html"
"118","Cal Christensen",1951,1955,"/players/c/chrisca01.html"
"119","Bob Christian",1970,1974,"/players/c/chrisbo01.html"
"120","Doug Christie",1993,2007,"/players/c/chrisdo01.html"
"121","Dionte Christmas",2014,2014,"/players/c/chrisdi01.html"
"122","Rakeem Christmas",2016,2017,"/players/c/chrisra01.html"
"123","Semaj Christon",2017,2017,"/players/c/chrisse01.html"
"124","Patrick Christopher",2015,2015,"/players/c/chrispa01.html"
"125","Stephen Chubin",1968,1970,"/players/c/chubist01.html"
"126","Robert Churchwell",1996,1996,"/players/c/churcro01.html"
"127","Archie Clark",1967,1976,"/players/c/clarkar01.html"
"128","Carlos Clark",1984,1985,"/players/c/clarkca01.html"
"129","Earl Clark",2010,2015,"/players/c/clarkea01.html"
"130","Gary Clark",2019,2020,"/players/c/clarkga01.html"
"131","Ian Clark",2014,2019,"/players/c/clarkia01.html"
"132","Keon Clark",1999,2004,"/players/c/clarkke01.html"
"133","Richard Clark",1968,1969,"/players/c/clarkri01.html"
"134","Brandon Clarke",2020,2020,"/players/c/clarkbr01.html"
"135","Coty Clarke",2016,2016,"/players/c/clarkco01.html"
"136","Jordan Clarkson",2015,2020,"/players/c/clarkjo01.html"
"137","Gian Clavell",2018,2018,"/players/c/clavegi01.html"
"138","Victor Claver",2013,2015,"/players/c/clavevi01.html"
"139","John Clawson",1969,1969,"/players/c/clawsjo01.html"
"140","Charles Claxton",1996,1996,"/players/c/claxtch01.html"
"141","Nicolas Claxton",2020,2020,"/players/c/claxtni01.html"
"142","Speedy Claxton",2002,2009,"/players/c/claxtsp01.html"
"143","Jim Cleamons",1972,1980,"/players/c/cleamji01.html"
"144","Mateen Cleaves",2001,2006,"/players/c/cleavma01.html"
"145","Barry Clemens",1966,1976,"/players/c/clemeba01.html"
"146","Chris Clemons",2020,2020,"/players/c/clemoch01.html"
"147","Antonius Cleveland",2018,2020,"/players/c/clevean01.html"
"148","Nat Clifton*",1951,1958,"/players/c/cliftna01.html"
"149","Bill Closs",1950,1952,"/players/c/clossbi01.html"
"150","Keith Closs",1998,2000,"/players/c/closske01.html"
"151","Paul Cloyd",1950,1950,"/players/c/cloydpa01.html"
"152","Bob Cluggish",1947,1947,"/players/c/cluggbo01.html"
"153","Ben Clyde",1975,1975,"/players/c/clydebe01.html"
