"","Player","From","To","plyrprofs"
"1","Mike D'Antoni",1974,1977,"/players/d/dantomi01.html"
"2","Mike Dabich",1968,1968,"/players/d/dabicmi01.html"
"3","Ed Dahler",1952,1952,"/players/d/dahleed01.html"
"4","Quintin Dailey",1983,1992,"/players/d/dailequ01.html"
"5","Samuel Dalembert",2002,2015,"/players/d/dalemsa01.html"
"6","Howie Dallmar",1947,1949,"/players/d/dallmho01.html"
"7","Erick Dampier",1997,2012,"/players/d/dampier01.html"
"8","Louie Dampier*",1968,1979,"/players/d/dampilo01.html"
"9","Bob Dandridge",1970,1982,"/players/d/dandrbo01.html"
"10","Antonio Daniels",1998,2011,"/players/d/daniean01.html"
"11","Erik Daniels",2005,2005,"/players/d/danieer01.html"
"12","Lloyd Daniels",1993,1998,"/players/d/daniell01.html"
"13","Marquis Daniels",2004,2013,"/players/d/daniema01.html"
"14","Mel Daniels*",1968,1977,"/players/d/danieme01.html"
"15","Troy Daniels",2014,2020,"/players/d/danietr01.html"
"16","Sasha Danilovic",1996,1997,"/players/d/danilsa01.html"
"17","Adrian Dantley*",1977,1991,"/players/d/dantlad01.html"
"18","Pete Darcey",1953,1953,"/players/d/darcepe01.html"
"19","Jimmy Darden",1950,1950,"/players/d/dardeji01.html"
"20","Ollie Darden",1968,1970,"/players/d/dardeol01.html"
"21","Yinka Dare",1995,1998,"/players/d/dareyi01.html"
"22","Jesse Dark",1975,1975,"/players/d/darkje01.html"
"23","Rick Darnell",1976,1976,"/players/d/darneri01.html"
"24","Jimmy Darrow",1962,1962,"/players/d/darroji01.html"
"25","Luigi Datome",2014,2015,"/players/d/datomlu01.html"
"26","Brad Daugherty",1987,1994,"/players/d/daughbr01.html"
"27","Mack Daughtry",1971,1971,"/players/d/daughma01.html"
"28","Kornél Dávid",1999,2001,"/players/d/davidko01.html"
"29","Jermareo Davidson",2008,2009,"/players/d/davidje01.html"
"30","Bob Davies*",1949,1955,"/players/d/daviebo01.html"
"31","Brandon Davies",2014,2015,"/players/d/daviebr01.html"
"32","Anthony Davis",2013,2020,"/players/d/davisan02.html"
"33","Antonio Davis",1994,2006,"/players/d/davisan01.html"
"34","Aubrey Davis",1947,1947,"/players/d/davisau01.html"
"35","Baron Davis",2000,2012,"/players/d/davisba01.html"
"36","Ben Davis",1997,2000,"/players/d/davisbe01.html"
"37","Bill Davis",1947,1947,"/players/d/davisbi01.html"
"38","Bob Davis",1973,1973,"/players/d/davisbo01.html"
"39","Brad Davis",1978,1992,"/players/d/davisbr01.html"
"40","Brian Davis",1994,1994,"/players/d/davisbr02.html"
"41","Charles Davis",1982,1990,"/players/d/davisch02.html"
"42","Charlie Davis",1972,1974,"/players/d/davisch01.html"
"43","Dale Davis",1992,2007,"/players/d/davisda01.html"
"44","Deyonta Davis",2017,2019,"/players/d/davisde01.html"
"45","Dwight Davis",1973,1977,"/players/d/davisdw01.html"
"46","Ed Davis",2011,2020,"/players/d/davised01.html"
"47","Emanual Davis",1997,2003,"/players/d/davisem01.html"
"48","Glen Davis",2008,2015,"/players/d/davisgl01.html"
"49","Harry Davis",1979,1980,"/players/d/davisha01.html"
"50","Hubert Davis",1993,2004,"/players/d/davishu01.html"
"51","Jim Davis",1968,1975,"/players/d/davisji01.html"
"52","Johnny Davis",1977,1986,"/players/d/davisjo01.html"
"53","Josh Davis",2004,2012,"/players/d/davisjo02.html"
"54","Lee Davis",1969,1976,"/players/d/davisle01.html"
"55","Mark Davis",1989,1989,"/players/d/davisma01.html"
"56","Mark Davis",1996,2000,"/players/d/davisma02.html"
"57","Mel Davis",1974,1977,"/players/d/davisme01.html"
"58","Mickey Davis",1972,1977,"/players/d/davismi02.html"
"59","Mike Davis",1970,1973,"/players/d/davismi01.html"
"60","Mike Davis",1983,1983,"/players/d/davismi03.html"
"61","Monti Davis",1981,1981,"/players/d/davismo01.html"
"62","Paul Davis",2007,2010,"/players/d/davispa01.html"
"63","Ralph Davis",1961,1962,"/players/d/davisra01.html"
"64","Red Davis",1956,1956,"/players/d/davisre01.html"
"65","Ricky Davis",1999,2010,"/players/d/davisri01.html"
"66","Ron Davis",1977,1982,"/players/d/davisro01.html"
"67","Terence Davis",2020,2020,"/players/d/daviste02.html"
"68","Terry Davis",1990,2001,"/players/d/daviste01.html"
