"","Player","From","To","plyrprofs"
"1","Joe Fabel",1947,1947,"/players/f/fabeljo01.html"
"2","John Fairchild",1966,1970,"/players/f/faircjo01.html"
"3","Tacko Fall",2020,2020,"/players/f/fallta01.html"
"4","Phil Farbman",1949,1949,"/players/f/farbmph01.html"
"5","Kenneth Faried",2012,2019,"/players/f/farieke01.html"
"6","Dick Farley",1955,1959,"/players/f/farledi01.html"
"7","Jordan Farmar",2007,2017,"/players/f/farmajo01.html"
"8","Desmon Farmer",2007,2009,"/players/f/farmede01.html"
"9","Jim Farmer",1988,1994,"/players/f/farmeji01.html"
"10","Mike Farmer",1959,1966,"/players/f/farmemi01.html"
"11","Tony Farmer",1998,2000,"/players/f/farmeto01.html"
"12","Bob Faught",1947,1947,"/players/f/faughbo01.html"
"13","V<ed>tor Faverani",2014,2014,"/players/f/favervi01.html"
"14","Derrick Favors",2011,2020,"/players/f/favorde01.html"
"15","Nick Fazekas",2008,2008,"/players/f/fazekni01.html"
"16","Dave Fedor",1963,1963,"/players/f/fedorda01.html"
"17","Bob Feerick",1947,1950,"/players/f/feeribo01.html"
"18","Butch Feher",1977,1977,"/players/f/feherbu01.html"
"19","Jamie Feick",1997,2001,"/players/f/feickja01.html"
"20","Ron Feiereisel",1956,1956,"/players/f/feierro01.html"
"21","George Feigenbaum",1950,1953,"/players/f/feigege01.html"
"22","Dave Feitl",1987,1992,"/players/f/feitlda01.html"
"23","Kay Felder",2017,2018,"/players/f/feldeka01.html"
"24","Cristiano Felício",2016,2020,"/players/f/feliccr01.html"
"25","Carrick Felix",2014,2014,"/players/f/felixca01.html"
"26","Noel Felix",2006,2006,"/players/f/felixno01.html"
"27","Ray Felix",1954,1962,"/players/f/felixra01.html"
"28","Raymond Felton",2006,2019,"/players/f/feltora01.html"
"29","Jake Fendley",1952,1953,"/players/f/fendlja01.html"
"30","Warren Fenley",1947,1947,"/players/f/fenlewa01.html"
"31","Desmond Ferguson",2004,2004,"/players/f/fergude01.html"
"32","Terrance Ferguson",2018,2020,"/players/f/fergute01.html"
"33","Rudy Fernández",2009,2012,"/players/f/fernaru01.html"
"34","Bruno Fernando",2020,2020,"/players/f/fernabr01.html"
"35","Eric Fernsten",1976,1984,"/players/f/fernser01.html"
"36","Al Ferrari",1956,1963,"/players/f/ferraal01.html"
"37","Rolando Ferreira",1989,1989,"/players/f/ferrero01.html"
"38","Duane Ferrell",1989,1999,"/players/f/ferredu01.html"
"39","Yogi Ferrell",2017,2020,"/players/f/ferreyo01.html"
"40","Arnie Ferrin",1949,1951,"/players/f/ferriar01.html"
"41","Bob Ferry",1960,1969,"/players/f/ferrybo01.html"
"42","Danny Ferry",1991,2003,"/players/f/ferryda01.html"
"43","Kyrylo Fesenko",2008,2012,"/players/f/fesenky01.html"
"44","Bobby Fields",1972,1972,"/players/f/fieldbo01.html"
"45","Kenny Fields",1985,1988,"/players/f/fieldke01.html"
"46","Landry Fields",2011,2015,"/players/f/fieldla01.html"
"47","Ron Filipek",1968,1968,"/players/f/filipro01.html"
"48","Greg Fillmore",1971,1972,"/players/f/fillmgr01.html"
"49","Larry Finch",1974,1975,"/players/f/finchla01.html"
"50","Hank Finkel",1967,1975,"/players/f/finkeha01.html"
"51","Michael Finley",1996,2010,"/players/f/finlemi01.html"
"52","Danny Finn",1953,1955,"/players/f/finnda01.html"
"53","Dorian Finney-Smith",2017,2020,"/players/f/finnedo01.html"
"54","Matt Fish",1995,1997,"/players/f/fishma01.html"
"55","Derek Fisher",1997,2014,"/players/f/fishede01.html"
"56","Richard Fisher",1972,1972,"/players/f/fisheri01.html"
"57","Gerald Fitch",2006,2006,"/players/f/fitchge01.html"
"58","Bob Fitzgerald",1947,1949,"/players/f/fitzgbo01.html"
"59","Dick Fitzgerald",1947,1948,"/players/f/fitzgdi01.html"
"60","Marcus Fizer",2001,2006,"/players/f/fizerma01.html"
