"","Player","From","To","plyrprofs"
"1","Bill Gabor",1950,1955,"/players/g/gaborbi01.html"
"2","Wenyen Gabriel",2020,2020,"/players/g/gabriwe01.html"
"3","Dan Gadzuric",2003,2012,"/players/g/gadzuda01.html"
"4","Daniel Gafford",2020,2020,"/players/g/gaffoda01.html"
"5","Deng Gai",2006,2006,"/players/g/gaide01.html"
"6","Elmer Gainer",1948,1950,"/players/g/gaineel01.html"
"7","Bill Gaines",1969,1969,"/players/g/gainebi01.html"
"8","Corey Gaines",1989,1995,"/players/g/gaineco01.html"
"9","David Gaines",1968,1968,"/players/g/gaineda01.html"
"10","Reece Gaines",2004,2006,"/players/g/gainere01.html"
"11","Sundiata Gaines",2010,2012,"/players/g/gainesu01.html"
"12","Mike Gale",1972,1982,"/players/g/galemi01.html"
"13","Chad Gallagher",1994,1994,"/players/g/gallach01.html"
"14","Harry Gallatin*",1949,1958,"/players/g/gallaha01.html"
"15","Gene Gallette",1947,1947,"/players/g/gillege01.html"
"16","Danilo Gallinari",2009,2020,"/players/g/gallida01.html"
"17","Langston Galloway",2015,2020,"/players/g/gallola01.html"
"18","Dave Gambee",1959,1970,"/players/g/gambeda01.html"
"19","Kevin Gamble",1988,1997,"/players/g/gamblke01.html"
"20","Bob Gantt",1947,1947,"/players/g/ganttbo01.html"
"21","Jorge Garbajosa",2007,2008,"/players/g/garbajo01.html"
"22","Rubén Garcés",2001,2001,"/players/g/garceru01.html"
"23","Alex Garcia",2004,2005,"/players/g/garcial01.html"
"24","Francisco García",2006,2015,"/players/g/garcifr01.html"
"25","Chuck Gardner",1968,1968,"/players/g/gardnch01.html"
"26","Earl Gardner",1949,1949,"/players/g/gardnea01.html"
"27","Kenneth Gardner",1976,1976,"/players/g/gardnke01.html"
"28","Thomas Gardner",2008,2009,"/players/g/gardnth01.html"
"29","Vern Gardner",1950,1952,"/players/g/gardnve01.html"
"30","Jack Garfinkel",1947,1949,"/players/g/garfija01.html"
"31","Patricio Garino",2017,2017,"/players/g/garinpa01.html"
"32","Darius Garland",2020,2020,"/players/g/garlada01.html"
"33","Gary Garland",1980,1980,"/players/g/garlaga01.html"
"34","Winston Garland",1988,1995,"/players/g/garlawi01.html"
"35","Dick Garmaker",1956,1961,"/players/g/garmadi01.html"
"36","Bill Garner",1968,1968,"/players/g/garnebi01.html"
"37","Chris Garner",1998,2001,"/players/g/garnech01.html"
"38","Bill Garnett",1983,1986,"/players/g/garnebi02.html"
"39","Kevin Garnett*",1996,2016,"/players/g/garneke01.html"
"40","Marlon Garnett",1999,1999,"/players/g/garnema01.html"
"41","Billy Garrett",2019,2019,"/players/g/garrebi01.html"
"42","Calvin Garrett",1981,1984,"/players/g/garreca01.html"
"43","Dean Garrett",1997,2002,"/players/g/garrede01.html"
"44","Diante Garrett",2013,2014,"/players/g/garredi02.html"
"45","Dick Garrett",1970,1974,"/players/g/garredi01.html"
"46","Rowland Garrett",1973,1977,"/players/g/garrero01.html"
"47","Tom Garrick",1989,1992,"/players/g/garrito01.html"
"48","John Garris",1984,1984,"/players/g/garrijo01.html"
"49","Kiwane Garris",1998,2000,"/players/g/garriki01.html"
"50","Pat Garrity",1999,2008,"/players/g/garripa01.html"
"51","Jim Garvin",1974,1974,"/players/g/garviji01.html"
"52","Marc Gasol",2009,2020,"/players/g/gasolma01.html"
"53","Pau Gasol",2002,2019,"/players/g/gasolpa01.html"
"54","Frank Gates",1950,1950,"/players/g/gatesfr01.html"
"55","Chris Gatling",1992,2002,"/players/g/gatlich01.html"
"56","Kenny Gattison",1987,1996,"/players/g/gattike01.html"
"57","Rudy Gay",2007,2020,"/players/g/gayru01.html"
"58","Ed Gayda",1951,1951,"/players/g/gaydaed01.html"
"59","Andrew Gaze",1994,1999,"/players/g/gazean01.html"
"60","Michael Gbinije",2017,2017,"/players/g/gbinimi01.html"
"61","Reggie Geary",1997,1998,"/players/g/gearyre01.html"
"62","Alonzo Gee",2010,2017,"/players/g/geeal01.html"
"63","Matt Geiger",1993,2002,"/players/g/geigema01.html"
"64","Mickaël Gelabale",2007,2013,"/players/g/gelabmi01.html"
"65","Devean George",2000,2010,"/players/g/georgde01.html"
"66","Jack George",1954,1961,"/players/g/georgja01.html"
"67","Paul George",2011,2020,"/players/g/georgpa01.html"
"68","Tate George",1991,1995,"/players/g/georgta01.html"
"69","Marcus Georges-Hunt",2017,2018,"/players/g/georgma01.html"
"70","Gus Gerard",1975,1981,"/players/g/gerargu01.html"
"71","Derrick Gervin",1990,1991,"/players/g/gervide01.html"
"72","George Gervin*",1973,1986,"/players/g/gervige01.html"
"73","Gorham Getchell",1947,1947,"/players/g/getchgo01.html"
"74","John Gianelli",1973,1980,"/players/g/gianejo01.html"
"75","Dick Gibbs",1972,1976,"/players/g/gibbsdi01.html"
"76","Daniel Gibson",2007,2013,"/players/g/gibsoda01.html"
"77","Dee Gibson",1950,1950,"/players/g/gibsode01.html"
"78","Hoot Gibson",1950,1950,"/players/g/gibsoho01.html"
"79","Jonathan Gibson",2017,2018,"/players/g/gibsojo01.html"
"80","Mel Gibson",1964,1964,"/players/g/gibsome01.html"
"81","Mike Gibson",1984,1986,"/players/g/gibsomi01.html"
"82","Taj Gibson",2010,2020,"/players/g/gibsota01.html"
"83","J.R. Giddens",2009,2010,"/players/g/giddejr01.html"
"84","Trey Gilder",2010,2010,"/players/g/gildetr01.html"
"85","Harry Giles",2019,2020,"/players/g/gilesha01.html"
"86","Shai Gilgeous-Alexander",2019,2020,"/players/g/gilgesh01.html"
"87","Eddie Gill",2001,2009,"/players/g/gilled01.html"
"88","Kendall Gill",1991,2005,"/players/g/gillke01.html"
"89","Ben Gillery",1989,1989,"/players/g/gillebe01.html"
"90","Jack Gillespie",1970,1970,"/players/g/gilleja01.html"
"91","Armen Gilliam",1988,2000,"/players/g/gilliar01.html"
"92","Herm Gilliam",1970,1977,"/players/g/gillihe01.html"
"93","Artis Gilmore*",1972,1988,"/players/g/gilmoar01.html"
"94","Walt Gilmore",1971,1971,"/players/g/gilmowa01.html"
"95","Chuck Gilmur",1947,1951,"/players/g/gilmuch01.html"
"96","Manu Ginóbili",2003,2018,"/players/g/ginobma01.html"
"97","Gordan Giricek",2003,2008,"/players/g/giricgo01.html"
"98","Jack Givens",1979,1980,"/players/g/givenja01.html"
"99","Mickell Gladness",2012,2012,"/players/g/gladnmi01.html"
"100","George Glamack",1949,1949,"/players/g/glamage01.html"
"101","Gerald Glass",1991,1996,"/players/g/glassge01.html"
"102","Mike Glenn",1978,1987,"/players/g/glennmi01.html"
"103","Normie Glick",1950,1950,"/players/g/glickno01.html"
"104","Georgi Glouchkov",1986,1986,"/players/g/gloucge01.html"
"105","Clarence Glover",1972,1972,"/players/g/glovecl01.html"
"106","Dion Glover",2000,2005,"/players/g/glovedi01.html"
"107","Andreas Glyniadakis",2007,2007,"/players/g/glynian01.html"
"108","Mike Gminski",1981,1994,"/players/g/gminsmi01.html"
"109","Rudy Gobert",2014,2020,"/players/g/goberru01.html"
"110","Dan Godfread",1991,1992,"/players/g/godfrda01.html"
"111","Tom Gola*",1956,1966,"/players/g/golato01.html"
"112","Ben Goldfaden",1947,1947,"/players/g/goldfbe01.html"
"113","Anthony Goldwire",1996,2006,"/players/g/goldwan01.html"
"114","Ryan Gomes",2006,2014,"/players/g/gomesry01.html"
"115","Glen Gondrezick",1978,1983,"/players/g/gondrgl01.html"
"116","Grant Gondrezick",1987,1989,"/players/g/gondrgr01.html"
"117","Drew Gooden",2003,2016,"/players/g/goodedr01.html"
"118","Gail Goodrich*",1966,1979,"/players/g/goodrga01.html"
"119","Steve Goodrich",2001,2002,"/players/g/goodrst01.html"
"120","Archie Goodwin",2014,2017,"/players/g/goodwar01.html"
"121","Brandon Goodwin",2019,2020,"/players/g/goodwbr01.html"
"122","Pop Goodwin",1947,1948,"/players/g/goodwpo01.html"
"123","Aaron Gordon",2015,2020,"/players/g/gordoaa01.html"
"124","Ben Gordon",2005,2015,"/players/g/gordobe01.html"
"125","Drew Gordon",2015,2015,"/players/g/gordodr01.html"
"126","Eric Gordon",2009,2020,"/players/g/gordoer01.html"
"127","Lancaster Gordon",1985,1988,"/players/g/gordola01.html"
"128","Paul Gordon",1950,1950,"/players/g/gordopa01.html"
"129","Marcin Gortat",2008,2019,"/players/g/gortama01.html"
"130","Leo Gottlieb",1947,1948,"/players/g/gottlle01.html"
"131","Andrew Goudelock",2012,2016,"/players/g/goudean01.html"
"132","Gerald Govan",1968,1976,"/players/g/govange01.html"
"133","Bato Govedarica",1954,1954,"/players/g/govedba01.html"
"134","Joe Graboski",1949,1962,"/players/g/grabojo01.html"
"135","Ricky Grace",1994,1994,"/players/g/graceri01.html"
"136","Calvin Graham",1968,1968,"/players/g/grahaca01.html"
"137","Devonte' Graham",2019,2020,"/players/g/grahade01.html"
"138","Greg Graham",1994,1998,"/players/g/grahagr01.html"
"139","Joey Graham",2006,2011,"/players/g/grahajo01.html"
"140","Mal Graham",1968,1969,"/players/g/grahama01.html"
"141","Orlando Graham",1989,1989,"/players/g/grahaor01.html"
"142","Paul Graham",1992,1994,"/players/g/grahapa01.html"
"143","Stephen Graham",2006,2011,"/players/g/grahast01.html"
"144","Treveon Graham",2017,2020,"/players/g/grahatr01.html"
"145","Jim Grandholm",1991,1991,"/players/g/grandji01.html"
"146","Ron Grandison",1989,1996,"/players/g/grandro01.html"
"147","Danny Granger",2006,2015,"/players/g/grangda01.html"
"148","Stewart Granger",1984,1987,"/players/g/grangst01.html"
"149","Brian Grant",1995,2006,"/players/g/grantbr01.html"
"150","Bud Grant",1950,1951,"/players/g/grantbu01.html"
"151","Gary Grant",1989,2001,"/players/g/grantga01.html"
"152","Greg Grant",1990,1996,"/players/g/grantgr01.html"
"153","Harvey Grant",1989,1999,"/players/g/grantha01.html"
"154","Horace Grant",1988,2004,"/players/g/grantho01.html"
"155","Jerami Grant",2015,2020,"/players/g/grantje01.html"
"156","Jerian Grant",2016,2019,"/players/g/grantje02.html"
"157","Josh Grant",1994,1994,"/players/g/grantjo01.html"
"158","Paul Grant",1999,2004,"/players/g/grantpa01.html"
