"","Player","From","To","plyrprofs"
"1","Rui Hachimura",2020,2020,"/players/h/hachiru01.html"
"2","Rudy Hackett",1976,1977,"/players/h/hackeru01.html"
"3","Hamed Haddadi",2009,2013,"/players/h/haddaha01.html"
"4","Jim Hadnot",1968,1968,"/players/h/hadnoji01.html"
"5","Scott Haffner",1990,1991,"/players/h/haffnsc01.html"
"6","Cliff Hagan*",1957,1970,"/players/h/hagancl01.html"
"7","Glenn Hagan",1982,1982,"/players/h/hagangl01.html"
"8","Tom Hagan",1970,1971,"/players/h/haganto01.html"
"9","Robert Hahn",1950,1950,"/players/h/hahnro01.html"
"10","Al Hairston",1969,1970,"/players/h/hairsal01.html"
"11","Happy Hairston",1965,1975,"/players/h/hairsha01.html"
"12","Lindsay Hairston",1976,1976,"/players/h/hairsli01.html"
"13","Malik Hairston",2009,2010,"/players/h/hairsma01.html"
"14","P.J. Hairston",2015,2016,"/players/h/hairspj02.html"
"15","Marcus Haislip",2003,2010,"/players/h/haislma01.html"
"16","Chick Halbert",1947,1951,"/players/h/halbech01.html"
"17","Swede Halbrook",1961,1962,"/players/h/halbrsw01.html"
"18","Bruce Hale",1949,1951,"/players/h/halebr01.html"
"19","Hal Hale",1968,1968,"/players/h/haleha01.html"
"20","Jack Haley",1989,1998,"/players/h/haleyja01.html"
"21","Shaler Halimon",1969,1973,"/players/h/halimsh01.html"
"22","Devon Hall",2020,2020,"/players/h/hallde01.html"
"23","Donta Hall",2020,2020,"/players/h/halldo01.html"
"24","Mike Hall",2007,2007,"/players/h/hallmi01.html"
"25","Jeff Halliburton",1972,1973,"/players/h/hallije01.html"
"26","Darvin Ham",1997,2005,"/players/h/hamda01.html"
"27","Steve Hamer",1997,1997,"/players/h/hamerst01.html"
"28","Dale Hamilton",1950,1950,"/players/h/hamilda01.html"
"29","Daniel Hamilton",2018,2019,"/players/h/hamilda02.html"
"30","Dennis Hamilton",1968,1971,"/players/h/hamilde01.html"
"31","Joe Hamilton",1971,1976,"/players/h/hamiljo01.html"
"32","Jordan Hamilton",2012,2016,"/players/h/hamiljo02.html"
"33","Justin Hamilton",2014,2017,"/players/h/hamilju01.html"
"34","Ralph Hamilton",1949,1949,"/players/h/hamilra01.html"
"35","Richard Hamilton",2000,2013,"/players/h/hamilri01.html"
"36","Roy Hamilton",1980,1981,"/players/h/hamilro01.html"
"37","Steve Hamilton",1959,1960,"/players/h/hamilst01.html"
"38","Tang Hamilton",2002,2002,"/players/h/hamilta01.html"
"39","Thomas Hamilton",1996,2000,"/players/h/hamilth01.html"
"40","Zendon Hamilton",2001,2006,"/players/h/hamilze01.html"
"41","Geert Hammink",1994,1996,"/players/h/hammige01.html"
"42","Julian Hammond",1968,1972,"/players/h/hammoju01.html"
"43","Tom Hammonds",1990,2001,"/players/h/hammoto01.html"
"44","A.J. Hammons",2017,2017,"/players/h/hammoaj01.html"
"45","Joe Hamood",1968,1968,"/players/h/hamoojo01.html"
"46","Darrin Hancock",1995,1997,"/players/h/hancoda01.html"
"47","Ben Handlogten",2004,2005,"/players/h/handlbe01.html"
"48","Cecil Hankins",1947,1948,"/players/h/hankice01.html"
"49","Phil Hankinson",1974,1975,"/players/h/hankiph01.html"
"50","Dusty Hannahs",2019,2020,"/players/h/hannadu01.html"
"51","Alex Hannum*",1950,1957,"/players/h/hannual01.html"
"52","Don Hanrahan",1953,1953,"/players/h/hanrado01.html"
"53","Rollen Hans",1954,1955,"/players/h/hansro01.html"
"54","Ben Hansbrough",2013,2013,"/players/h/hansbbe01.html"
"55","Tyler Hansbrough",2010,2016,"/players/h/hansbty01.html"
"56","Bob Hansen",1984,1992,"/players/h/hansebo01.html"
"57","Glenn Hansen",1976,1978,"/players/h/hansegl01.html"
"58","Lars Hansen",1979,1979,"/players/h/hansela01.html"
"59","Travis Hansen",2004,2004,"/players/h/hansetr01.html"
"60","Reggie Hanson",1998,1998,"/players/h/hansore01.html"
"61","Bill Hanzlik",1981,1990,"/players/h/hanzlbi01.html"
"62","Luke Harangody",2011,2012,"/players/h/haranlu01.html"
"63","Anfernee Hardaway",1994,2008,"/players/h/hardaan01.html"
"64","Tim Hardaway",1990,2003,"/players/h/hardati01.html"
"65","Tim Hardaway",2014,2020,"/players/h/hardati02.html"
"66","James Harden",2010,2020,"/players/h/hardeja01.html"
"67","Reggie Harding",1964,1968,"/players/h/hardire01.html"
"68","Charlie Hardnett",1963,1965,"/players/h/hardnch01.html"
"69","Alan Hardy",1981,1982,"/players/h/hardyal01.html"
"70","Darrell Hardy",1968,1968,"/players/h/hardyda01.html"
"71","James Hardy",1979,1982,"/players/h/hardyja01.html"
"72","Ira Harge",1968,1973,"/players/h/hargeir01.html"
"73","John Hargis",1950,1951,"/players/h/hargijo01.html"
"74","Maurice Harkless",2013,2020,"/players/h/harklma01.html"
"75","Jerry Harkness",1964,1969,"/players/h/harknje01.html"
"76","Skip Harlicka",1969,1969,"/players/h/harlisk01.html"
"77","Jerome Harmon",1995,1995,"/players/h/harmoje01.html"
"78","Derek Harper",1984,1999,"/players/h/harpede01.html"
"79","Jared Harper",2020,2020,"/players/h/harpeja01.html"
"80","Justin Harper",2012,2017,"/players/h/harpeju01.html"
"81","Mike Harper",1981,1982,"/players/h/harpemi01.html"
"82","Ron Harper",1987,2001,"/players/h/harpero01.html"
"83","Matt Harpring",1999,2009,"/players/h/harprma01.html"
"84","Montrezl Harrell",2016,2020,"/players/h/harremo01.html"
"85","Josh Harrellson",2012,2014,"/players/h/harrejo01.html"
"86","Adam Harrington",2003,2003,"/players/h/harriad01.html"
"87","Al Harrington",1999,2014,"/players/h/harrial01.html"
"88","Junior Harrington",2003,2007,"/players/h/harriju01.html"
"89","Othella Harrington",1997,2008,"/players/h/harriot01.html"
"90","Art Harris",1969,1972,"/players/h/harriar01.html"
"91","Bernie Harris",1975,1975,"/players/h/harribe01.html"
"92","Billy Harris",1975,1975,"/players/h/harribi01.html"
"93","Bob Harris",1950,1954,"/players/h/harribo01.html"
"94","Chris Harris",1956,1956,"/players/h/harrich01.html"
"95","Devin Harris",2005,2019,"/players/h/harride01.html"
"96","Elias Harris",2014,2014,"/players/h/harriel01.html"
"97","Gary Harris",2015,2020,"/players/h/harriga01.html"
"98","Joe Harris",2015,2020,"/players/h/harrijo01.html"
"99","Lucious Harris",1994,2005,"/players/h/harrilu01.html"
"100","Manny Harris",2011,2017,"/players/h/harrima01.html"
"101","Mike Harris",2008,2014,"/players/h/harrimi01.html"
"102","Steve Harris",1986,1990,"/players/h/harrist01.html"
"103","Terrel Harris",2012,2013,"/players/h/harrite01.html"
"104","Tobias Harris",2012,2020,"/players/h/harrito02.html"
"105","Tony Harris",1991,1995,"/players/h/harrito01.html"
"106","Aaron Harrison",2016,2018,"/players/h/harriaa01.html"
"107","Andrew Harrison",2017,2019,"/players/h/harrian01.html"
"108","Bob Harrison",1950,1958,"/players/h/harribo02.html"
"109","David Harrison",2005,2008,"/players/h/harrida01.html"
"110","Shaquille Harrison",2018,2020,"/players/h/harrish01.html"
"111","Jason Hart",2001,2010,"/players/h/hartja01.html"
"112","Josh Hart",2018,2020,"/players/h/hartjo01.html"
"113","Isaiah Hartenstein",2019,2020,"/players/h/harteis01.html"
"114","Antonio Harvey",1994,2003,"/players/h/harvean01.html"
"115","Donnell Harvey",2001,2005,"/players/h/harvedo01.html"
"116","Scott Haskin",1994,1994,"/players/h/haskisc01.html"
"117","Clem Haskins",1968,1976,"/players/h/haskicl01.html"
"118","Udonis Haslem",2004,2020,"/players/h/hasleud01.html"
"119","Trenton Hassell",2002,2010,"/players/h/hassetr01.html"
"120","Billy Hassett",1950,1951,"/players/h/hassebi01.html"
"121","Joe Hassett",1978,1983,"/players/h/hassejo01.html"
"122","Scott Hastings",1983,1993,"/players/h/hastisc01.html"
"123","Kirk Haston",2002,2003,"/players/h/hastoki01.html"
"124","Vern Hatton",1959,1962,"/players/h/hattove01.html"
"125","John Havlicek*",1963,1978,"/players/h/havlijo01.html"
"126","Spencer Hawes",2008,2017,"/players/h/hawessp01.html"
"127","Steve Hawes",1975,1984,"/players/h/hawesst01.html"
"128","Bubbles Hawkins",1976,1979,"/players/h/hawkiro01.html"
"129","Connie Hawkins*",1968,1976,"/players/h/hawkico01.html"
"130","Hersey Hawkins",1989,2001,"/players/h/hawkihe01.html"
"131","Juaquin Hawkins",2003,2003,"/players/h/hawkiju01.html"
"132","Marshall Hawkins",1950,1950,"/players/h/hawkima01.html"
"133","Michael Hawkins",1997,2001,"/players/h/hawkimi01.html"
"134","Tom Hawkins",1960,1969,"/players/h/hawkito01.html"
"135","Nate Hawthorne",1974,1976,"/players/h/hawthna01.html"
"136","Chuck Hayes",2006,2016,"/players/h/hayesch01.html"
"137","Elvin Hayes*",1969,1984,"/players/h/hayesel01.html"
"138","Jarvis Hayes",2004,2010,"/players/h/hayesja01.html"
"139","Jaxson Hayes",2020,2020,"/players/h/hayesja02.html"
"140","Jim Hayes",1971,1971,"/players/h/hayesji01.html"
"141","Nigel Hayes",2018,2018,"/players/h/hayesni01.html"
"142","Steve Hayes",1982,1986,"/players/h/hayesst01.html"
"143","Gordon Hayward",2011,2020,"/players/h/haywago01.html"
"144","Lazar Hayward",2011,2013,"/players/h/haywala01.html"
"145","Brendan Haywood",2002,2015,"/players/h/haywobr01.html"
"146","Spencer Haywood*",1970,1983,"/players/h/haywosp01.html"
"147","John Hazen",1949,1949,"/players/h/hazenjo01.html"
"148","Walt Hazzard",1965,1974,"/players/a/abdulma01.html"
"149","Luther Head",2006,2011,"/players/h/headlu01.html"
"150","Shane Heal",1997,2004,"/players/h/healsh01.html"
"151","Brian Heaney",1970,1970,"/players/h/heanebr01.html"
"152","Gar Heard",1971,1981,"/players/h/heardga01.html"
"153","Reggie Hearn",2018,2018,"/players/h/hearnre01.html"
"154","Herm Hedderick",1955,1955,"/players/h/heddehe01.html"
"155","Alvin Heggs",1996,1996,"/players/h/heggsal01.html"
"156","Tom Heinsohn*",1957,1965,"/players/h/heinsto01.html"
"157","Dick Hemric",1956,1957,"/players/h/hemridi01.html"
"158","Alan Henderson",1996,2007,"/players/h/hendeal01.html"
"159","Cedric Henderson",1987,1987,"/players/h/hendece01.html"
"160","Cedric Henderson",1998,2002,"/players/h/hendece02.html"
"161","Dave Henderson",1988,1988,"/players/h/hendeda01.html"
"162","Gerald Henderson",1980,1992,"/players/h/hendege01.html"
"163","Gerald Henderson",2010,2017,"/players/h/hendege02.html"
"164","J.R. Henderson",1999,1999,"/players/h/hendejr01.html"
"165","Jerome Henderson",1986,1987,"/players/h/hendeje01.html"
"166","Kevin Henderson",1987,1988,"/players/h/hendeke01.html"
"167","Tom Henderson",1975,1983,"/players/h/hendeto01.html"
"168","Mark Hendrickson",1997,2000,"/players/h/hendrma01.html"
"169","Larry Hennessy",1956,1957,"/players/h/hennela01.html"
"170","Don Henriksen",1953,1955,"/players/h/henrido01.html"
"171","Al Henry",1971,1972,"/players/h/henryal01.html"
"172","Bill Henry",1949,1950,"/players/h/henrybi01.html"
"173","Carl Henry",1986,1986,"/players/h/henryca01.html"
"174","Conner Henry",1987,1988,"/players/h/henryco01.html"
"175","Myke Henry",2018,2018,"/players/h/henrymy01.html"
"176","Skeeter Henry",1994,1994,"/players/h/henrysk01.html"
"177","Xavier Henry",2011,2015,"/players/h/henryxa01.html"
"178","John Henson",2013,2020,"/players/h/hensojo01.html"
"179","Steve Henson",1991,1999,"/players/h/hensost01.html"
"180","Charles Hentz",1971,1971,"/players/h/hentzch01.html"
"181","Bill Herman",1950,1950,"/players/h/hermabi01.html"
"182","Kleggie Hermsen",1947,1953,"/players/h/hermskl01.html"
"183","Dewan Hernandez",2020,2020,"/players/h/hernade01.html"
"184","Juan Hernang<f3>mez",2017,2020,"/players/h/hernaju01.html"
"185","Willy Hernangómez",2017,2020,"/players/h/hernawi01.html"
"186","Chris Herren",2000,2001,"/players/h/herrech01.html"
"187","Carl Herrera",1992,1999,"/players/h/herreca01.html"
"188","Walter Herrmann",2007,2009,"/players/h/herrmwa01.html"
"189","Tyler Herro",2020,2020,"/players/h/herroty01.html"
"190","Keith Herron",1979,1982,"/players/h/herroke01.html"
"191","Sonny Hertzberg",1947,1951,"/players/h/hertzso01.html"
"192","Kevin Hervey",2020,2020,"/players/h/herveke01.html"
"193","Dan Hester",1971,1971,"/players/h/hesteda01.html"
"194","Fred Hetzel",1966,1971,"/players/h/hetzefr01.html"
"195","Bill Hewitt",1969,1975,"/players/h/hewitbi01.html"
"196","Jack Hewson",1948,1948,"/players/h/hewsoja01.html"
"197","Art Heyman",1964,1970,"/players/h/heymaar01.html"
"198","Mario Hezonja",2016,2020,"/players/h/hezonma01.html"
"199","Roy Hibbert",2009,2017,"/players/h/hibbero01.html"
"200","Nat Hickey",1948,1948,"/players/h/hickena01.html"
"201","Isaiah Hicks",2018,2019,"/players/h/hicksis01.html"
"202","Phil Hicks",1977,1979,"/players/h/hicksph01.html"
"203","J.J. Hickson",2009,2016,"/players/h/hicksjj01.html"
"204","Buddy Hield",2017,2020,"/players/h/hieldbu01.html"
"205","Bill Higgins",1975,1975,"/players/h/higgibi01.html"
"206","Cory Higgins",2012,2013,"/players/h/higgico01.html"
"207","Earle Higgins",1971,1971,"/players/h/higgiea01.html"
"208","Mike Higgins",1990,1991,"/players/h/higgimi01.html"
"209","Rod Higgins",1983,1995,"/players/h/higgiro01.html"
"210","Sean Higgins",1991,1998,"/players/h/higgise01.html"
"211","Kenny Higgs",1979,1982,"/players/h/higgske01.html"
"212","Johnny High",1980,1984,"/players/h/highjo01.html"
"213","Haywood Highsmith",2019,2019,"/players/h/highsha01.html"
"214","Wayne Hightower",1963,1972,"/players/h/hightwa01.html"
"215","Nenê Hilário",2003,2019,"/players/h/hilarne01.html"
"216","Armond Hill",1977,1984,"/players/h/hillar01.html"
"217","Cleo Hill",1962,1962,"/players/h/hillcl01.html"
"218","Gary Hill",1964,1965,"/players/h/hillga01.html"
"219","George Hill",2009,2020,"/players/h/hillge01.html"
"220","Grant Hill*",1995,2013,"/players/h/hillgr01.html"
"221","Jordan Hill",2010,2017,"/players/h/hilljo01.html"
"222","Simmie Hill",1970,1974,"/players/h/hillsi01.html"
"223","Solomon Hill",2014,2020,"/players/h/hillso01.html"
"224","Steven Hill",2009,2009,"/players/h/hillst01.html"
"225","Tyrone Hill",1991,2004,"/players/h/hillty01.html"
"226","Art Hillhouse",1947,1948,"/players/h/hillhar01.html"
