"","Player","From","To","plyrprofs"
"1","Marc Iavaroni",1983,1989,"/players/i/iavarma01.html"
"2","Serge Ibaka",2010,2020,"/players/i/ibakase01.html"
"3","Andre Iguodala",2005,2020,"/players/i/iguodan01.html"
"4","Zydrunas Ilgauskas",1998,2011,"/players/i/ilgauzy01.html"
"5","Mile Ilic",2007,2007,"/players/i/ilicmi01.html"
"6","Didier Ilunga-Mbenga",2005,2011,"/players/m/mbengdj01.html"
"7","Ersan Ilyasova",2007,2020,"/players/i/ilyaser01.html"
"8","Darrall Imhoff",1961,1972,"/players/i/imhofda01.html"
"9","Tom Ingelsby",1974,1976,"/players/i/ingelto01.html"
"10","Joe Ingles",2015,2020,"/players/i/inglejo01.html"
"11","Damien Inglis",2016,2016,"/players/i/inglida01.html"
"12","Andre Ingram",2018,2019,"/players/i/ingraan01.html"
"13","Brandon Ingram",2017,2020,"/players/i/ingrabr01.html"
"14","McCoy Ingram",1958,1958,"/players/i/ingramc01.html"
"15","Ervin Inniger",1968,1969,"/players/i/inniger01.html"
"16","Byron Irvin",1990,1993,"/players/i/irvinby01.html"
"17","George Irvine",1971,1976,"/players/i/irvinge01.html"
"18","Kyrie Irving",2012,2020,"/players/i/irvinky01.html"
"19","Jonathan Isaac",2018,2020,"/players/i/isaacjo01.html"
"20","Dan Issel*",1971,1985,"/players/i/isselda01.html"
"21","Mike Iuzzolino",1992,1993,"/players/i/iuzzomi01.html"
"22","Allen Iverson*",1997,2010,"/players/i/iversal01.html"
"23","Willie Iverson",1969,1969,"/players/i/iverswi01.html"
"24","Royal Ivey",2005,2014,"/players/i/iveyro01.html"
"25","Elvin Ivory",1969,1969,"/players/i/ivoryel01.html"
"26","Wesley Iwundu",2018,2020,"/players/i/iwundwe01.html"
