"","Player","From","To","plyrprofs"
"1","Warren Jabali",1969,1975,"/players/j/jabalwa01.html"
"2","Jarrett Jack",2006,2018,"/players/j/jackja01.html"
"3","Aaron Jackson",2018,2018,"/players/j/jacksaa01.html"
"4","Al Jackson",1968,1968,"/players/j/jacksal01.html"
"5","Bobby Jackson",1998,2009,"/players/j/jacksbo01.html"
"6","Cedric Jackson",2010,2010,"/players/j/jacksce01.html"
"7","Darnell Jackson",2009,2011,"/players/j/jacksda01.html"
"8","Demetrius Jackson",2017,2019,"/players/j/jacksde01.html"
"9","Frank Jackson",2019,2020,"/players/j/jacksfr01.html"
"10","Greg Jackson",1975,1975,"/players/j/jacksgr01.html"
"11","Jaren Jackson",1990,2002,"/players/j/jacksja01.html"
"12","Jaren Jackson",2019,2020,"/players/j/jacksja02.html"
"13","Jermaine Jackson",2000,2006,"/players/j/jacksje01.html"
"14","Jim Jackson",1993,2006,"/players/j/jacksji01.html"
"15","Josh Jackson",2018,2020,"/players/j/jacksjo02.html"
"16","Justin Jackson",2018,2020,"/players/j/jacksju01.html"
"17","Luke Jackson",1965,1972,"/players/j/jackslu01.html"
"18","Luke Jackson",2005,2008,"/players/j/jackslu02.html"
"19","Marc Jackson",2001,2007,"/players/j/jacksma02.html"
"20","Mark Jackson",1988,2004,"/players/j/jacksma01.html"
"21","Mervin Jackson",1969,1973,"/players/j/jacksme01.html"
"22","Michael Jackson",1988,1990,"/players/j/jacksmi02.html"
"23","Mike Jackson",1973,1976,"/players/j/jacksmi01.html"
"24","Myron Jackson",1987,1987,"/players/j/jacksmy01.html"
"25","Phil Jackson*",1968,1980,"/players/j/jacksph01.html"
"26","Pierre Jackson",2017,2017,"/players/j/jackspi01.html"
"27","Ralph Jackson",1985,1985,"/players/j/jacksra01.html"
"28","Randell Jackson",1999,2000,"/players/j/jacksra02.html"
"29","Reggie Jackson",2012,2020,"/players/j/jacksre01.html"
"30","Stanley Jackson",1994,1994,"/players/j/jacksst01.html"
"31","Stephen Jackson",2001,2014,"/players/j/jacksst02.html"
"32","Tony Jackson",1968,1969,"/players/j/jacksto01.html"
"33","Tony Jackson",1981,1981,"/players/j/jacksto02.html"
"34","Tracy Jackson",1982,1984,"/players/j/jackstr01.html"
"35","Wardell Jackson",1975,1975,"/players/j/jackswa01.html"
"36","Fred Jacobs",1947,1947,"/players/j/jacobfr01.html"
"37","Casey Jacobsen",2003,2008,"/players/j/jacobca01.html"
"38","Sam Jacobson",1999,2001,"/players/j/jacobsa01.html"
"39","Dave Jamerson",1991,1994,"/players/j/jamerda01.html"
"40","Aaron James",1975,1979,"/players/j/jamesaa01.html"
"41","Bernard James",2013,2015,"/players/j/jamesbe01.html"
"42","Billy James",1974,1974,"/players/j/jamesbi01.html"
"43","Damion James",2011,2014,"/players/j/jamesda01.html"
"44","Gene James",1949,1951,"/players/j/jamesge01.html"
"45","Henry James",1991,1998,"/players/j/jameshe01.html"
"46","Jerome James",1999,2009,"/players/j/jamesje01.html"
"47","Justin James",2020,2020,"/players/j/jamesju01.html"
"48","LeBron James",2004,2020,"/players/j/jamesle01.html"
"49","Mike James",2002,2014,"/players/j/jamesmi01.html"
"50","Mike James",2018,2018,"/players/j/jamesmi02.html"
"51","Tim James",2000,2002,"/players/j/jamesti01.html"
"52","Antawn Jamison",1999,2014,"/players/j/jamisan01.html"
"53","Harold Jamison",2000,2002,"/players/j/jamisha01.html"
"54","John Janisch",1947,1948,"/players/j/janisjo01.html"
"55","Howie Janotta",1950,1950,"/players/j/janotho01.html"
"56","Marko Jaric",2003,2009,"/players/j/jaricma01.html"
"57","Tony Jaros",1947,1951,"/players/j/jarosto01.html"
"58","Jim Jarvis",1968,1969,"/players/j/jarviji01.html"
"59","Šarunas Jasikevicius",2006,2007,"/players/j/jasiksa01.html"
"60","Nathan Jawai",2009,2010,"/players/j/jawaina01.html"
"61","Buddy Jeannette*",1948,1950,"/players/j/jeannbu01.html"
"62","Abdul Jeelani",1980,1981,"/players/j/jeelaab01.html"
"63","Chris Jefferies",2003,2004,"/players/j/jeffech01.html"
"64","Othyus Jeffers",2010,2014,"/players/j/jeffeot01.html"
"65","Al Jefferson",2005,2018,"/players/j/jeffeal01.html"
"66","Amile Jefferson",2019,2020,"/players/j/jeffeam01.html"
"67","Cory Jefferson",2015,2016,"/players/j/jeffeco01.html"
"68","Dontell Jefferson",2009,2009,"/players/j/jeffedo01.html"
"69","Richard Jefferson",2002,2018,"/players/j/jefferi01.html"
"70","DaQuan Jeffries",2020,2020,"/players/j/jeffrda01.html"
"71","Jared Jeffries",2003,2013,"/players/j/jeffrja01.html"
"72","Charles Jenkins",2012,2013,"/players/j/jenkich01.html"
"73","Horace Jenkins",2005,2005,"/players/j/jenkiho01.html"
"74","John Jenkins",2013,2019,"/players/j/jenkijo01.html"
"75","Brandon Jennings",2010,2018,"/players/j/jennibr01.html"
"76","Keith Jennings",1993,1995,"/players/j/jennike01.html"
"77","Chris Jent",1994,1997,"/players/j/jentch01.html"
"78","Les Jepsen",1991,1992,"/players/j/jepsele01.html"
"79","Jonas Jerebko",2010,2019,"/players/j/jerebjo01.html"
"80","Ty Jerome",2020,2020,"/players/j/jeromty01.html"
"81","Grant Jerrett",2015,2015,"/players/j/jerregr01.html"
"82","Eugene Jeter",2011,2011,"/players/j/jetereu01.html"
"83","Hal Jeter",1970,1970,"/players/j/jeterha01.html"
"84","Yi Jianlian",2008,2012,"/players/j/jianlyi01.html"
"85","Britton Johnsen",2004,2005,"/players/j/johnsbr01.html"
