"","Player","From","To","plyrprofs"
"1","Fred LaCour",1961,1963,"/players/l/lacoufr01.html"
"2","Raef LaFrentz",1999,2008,"/players/l/lafrera01.html"
"3","Tom LaGarde",1978,1985,"/players/l/lagarto01.html"
"4","Rusty LaRue",1998,2004,"/players/l/larueru01.html"
"5","Rudy LaRusso",1960,1969,"/players/l/larusru01.html"
"6","Zach LaVine",2015,2020,"/players/l/lavinza01.html"
"7","Skal Labissi<e8>re",2017,2020,"/players/l/labissk01.html"
"8","Reggie Lacefield",1969,1969,"/players/l/lacefre01.html"
"9","Edgar Lacey",1969,1969,"/players/l/laceyed01.html"
"10","Sam Lacey",1971,1983,"/players/l/laceysa01.html"
"11","Bob Lackey",1973,1974,"/players/l/lackebo01.html"
"12","Wendell Ladner",1971,1975,"/players/l/ladnewe01.html"
"13","Christian Laettner",1993,2005,"/players/l/laettch01.html"
"14","Oliver Lafayette",2010,2010,"/players/l/lafayol01.html"
"15","Bill Laimbeer",1981,1994,"/players/l/laimbbi01.html"
"16","Pete Lalich",1947,1947,"/players/l/lalicpe01.html"
"17","Bo Lamar",1974,1977,"/players/l/lamarbo01.html"
"18","Doron Lamb",2013,2014,"/players/l/lambdo01.html"
"19","Jeremy Lamb",2013,2020,"/players/l/lambje01.html"
"20","John Lambert",1976,1982,"/players/l/lambejo01.html"
"21","Jeff Lamp",1982,1989,"/players/l/lampje01.html"
"22","Maciej Lampe",2004,2006,"/players/l/lampema01.html"
"23","Jim Lampley",1987,1987,"/players/l/lamplji01.html"
"24","Sean Lampley",2003,2004,"/players/l/lamplse01.html"
"25","Carl Landry",2008,2016,"/players/l/landrca01.html"
"26","Marcus Landry",2010,2010,"/players/l/landrma01.html"
"27","Mark Landsberger",1978,1984,"/players/l/landsma01.html"
"28","Jerome Lane",1989,1993,"/players/l/laneje01.html"
"29","Andrew Lang",1989,2000,"/players/l/langan01.html"
"30","Antonio Lang",1995,2000,"/players/l/langan02.html"
"31","James Lang",2007,2007,"/players/l/langja01.html"
"32","Trajan Langdon",2000,2002,"/players/l/langdtr01.html"
"33","Keith Langford",2008,2008,"/players/l/langfke01.html"
"34","Romeo Langford",2020,2020,"/players/l/langfro01.html"
"35","Dan Langhi",2001,2004,"/players/l/langhda01.html"
"36","Bob Lanier*",1971,1984,"/players/l/laniebo01.html"
"37","Stu Lantz",1969,1976,"/players/l/lantzst01.html"
"38","Nicolás Laprovíttola",2017,2017,"/players/l/laproni01.html"
"39","York Larese",1962,1962,"/players/l/laresyo01.html"
"40","Shane Larkin",2014,2018,"/players/l/larkish01.html"
"41","John Laskowski",1976,1977,"/players/l/laskojo01.html"
"42","Stéphane Lasme",2008,2008,"/players/l/lasmest01.html"
"43","Dave Lattin",1968,1973,"/players/l/lattida01.html"
"44","Priest Lauderdale",1997,1998,"/players/l/laudepr01.html"
"45","Rich Laurel",1978,1978,"/players/l/laureri01.html"
"46","Harry Laurie",1971,1971,"/players/l/lauriha01.html"
"47","Walt Lautenbach",1950,1950,"/players/l/lautewa01.html"
"48","Joffrey Lauvergne",2015,2018,"/players/l/lauvejo01.html"
"49","Tony Lavelli",1950,1951,"/players/l/lavelto01.html"
"50","Bob Lavoy",1951,1954,"/players/l/lavoybo01.html"
"51","Acie Law",2008,2011,"/players/l/lawac01.html"
"52","Vic Law",2020,2020,"/players/l/lawvi01.html"
"53","Gani Lawal",2011,2011,"/players/l/lawalga01.html"
"54","Edmund Lawrence",1981,1981,"/players/l/lawreed01.html"
"55","Jason Lawson",1998,1998,"/players/l/lawsoja01.html"
"56","Ty Lawson",2010,2017,"/players/l/lawsoty01.html"
"57","Jake Layman",2017,2020,"/players/l/laymaja01.html"
"58","Mo Layton",1972,1978,"/players/l/laytomo01.html"
"59","Caris LeVert",2017,2020,"/players/l/leverca01.html"
"60","T.J. Leaf",2018,2020,"/players/l/leaftj01.html"
"61","Manny Leaks",1969,1974,"/players/l/leaksma01.html"
"62","Hal Lear",1957,1957,"/players/l/learha01.html"
"63","Allen Leavell",1980,1989,"/players/l/leaveal01.html"
"64","Jeff Lebo",1990,1990,"/players/l/leboje01.html"
"65","Eric Leckner",1989,1997,"/players/l/leckner01.html"
"66","Jalen Lecque",2020,2020,"/players/l/lecquja01.html"
"67","Ricky Ledo",2014,2015,"/players/l/ledori01.html"
"68","Butch Lee",1979,1980,"/players/l/leebu01.html"
"69","Clyde Lee",1967,1976,"/players/l/leecl01.html"
"70","Courtney Lee",2009,2020,"/players/l/leeco01.html"
"71","Damion Lee",2018,2020,"/players/l/leeda03.html"
"72","David Lee",1968,1969,"/players/l/leeda01.html"
"73","David Lee",2006,2017,"/players/l/leeda02.html"
"74","Dick Lee",1968,1968,"/players/l/leedi01.html"
"75","Doug Lee",1992,1995,"/players/l/leedo01.html"
"76","George Lee",1961,1968,"/players/l/leege01.html"
"77","Greg Lee",1975,1976,"/players/l/leegr01.html"
"78","Keith Lee",1986,1989,"/players/l/leeke01.html"
