"","Player","From","To","plyrprofs"
"1","Sheldon Mac",2017,2017,"/players/m/mcclesh01.html"
"2","Todd MacCulloch",2000,2003,"/players/m/maccuto01.html"
"3","Ronnie MacGilvray",1955,1955,"/players/m/macgiro01.html"
"4","Don MacLean",1993,2001,"/players/m/macledo01.html"
"5","Mike Macaluso",1974,1974,"/players/m/macalmi01.html"
"6","Ed Macauley*",1950,1959,"/players/m/macaued01.html"
"7","Scott Machado",2013,2019,"/players/m/machasc01.html"
"8","Arvydas Macijauskas",2006,2006,"/players/m/macijar01.html"
"9","Ollie Mack",1980,1982,"/players/m/mackol01.html"
"10","Sam Mack",1993,2002,"/players/m/macksa01.html"
"11","Shelvin Mack",2012,2019,"/players/m/macksh01.html"
"12","Malcolm Mackey",1994,1994,"/players/m/mackema01.html"
"13","Rudy Macklin",1982,1984,"/players/m/macklru01.html"
"14","Vernon Macklin",2012,2012,"/players/m/macklve01.html"
"15","Johnny Macknowski",1950,1951,"/players/m/macknjo01.html"
"16","Daryl Macon",2019,2020,"/players/m/maconda01.html"
"17","Mark Macon",1992,1999,"/players/m/maconma01.html"
"18","J.P. Macura",2019,2020,"/players/m/macurjp01.html"
"19","Kyle Macy",1981,1987,"/players/m/macyky01.html"
"20","Jack Maddox",1949,1949,"/players/m/maddoja01.html"
"21","Tito Maddox",2003,2003,"/players/m/maddoti01.html"
"22","Gerald Madkins",1994,1998,"/players/m/madkige01.html"
"23","Mark Madsen",2001,2009,"/players/m/madsema01.html"
"24","Norm Mager",1951,1951,"/players/m/magerno01.html"
"25","Josh Magette",2018,2020,"/players/m/magetjo01.html"
"26","Corey Maggette",2000,2013,"/players/m/maggeco01.html"
"27","Dave Magley",1983,1983,"/players/m/magleda01.html"
"28","Jamaal Magloire",2001,2012,"/players/m/magloja01.html"
"29","Randolph Mahaffey",1968,1971,"/players/m/mahafra01.html"
"30","Ian Mahinmi",2008,2020,"/players/m/mahinia01.html"
"31","John Mahnken",1947,1953,"/players/m/mahnkjo01.html"
"32","Brian Mahoney",1973,1973,"/players/m/mahonbr01.html"
"33","Mo Mahoney",1953,1954,"/players/m/mahonmo01.html"
"34","Rick Mahorn",1981,1999,"/players/m/mahorri01.html"
"35","Dan Majerle",1989,2002,"/players/m/majerda01.html"
"36","Renaldo Major",2007,2007,"/players/m/majorre01.html"
