"","Player","From","To","plyrprofs"
"1","Hamady N'Diaye",2011,2014,"/players/n/ndiayha01.html"
"2","Makhtar N'Diaye",1999,1999,"/players/n/ndiayma01.html"
"3","Mamadou N'Diaye",2001,2005,"/players/n/ndiayma02.html"
"4","Boniface N'Dong",2006,2006,"/players/n/ndongbo01.html"
"5","Bob Naber",1953,1953,"/players/n/naberbo01.html"
"6","Boris Nachamkin",1955,1955,"/players/n/nachabo01.html"
"7","Boštjan Nachbar",2003,2008,"/players/n/nachbbo01.html"
"8","Abdel Nader",2018,2020,"/players/n/naderab01.html"
"9","Jerry Nagel",1950,1950,"/players/n/nagelje01.html"
"10","Fritz Nagy",1949,1949,"/players/n/nagyfr01.html"
"11","Lee Nailon",2001,2006,"/players/n/nailole01.html"
"12","Eduardo Nájera",2001,2012,"/players/n/najered01.html"
"13","Larry Nance",1982,1994,"/players/n/nancela01.html"
"14","Larry Nance",2016,2020,"/players/n/nancela02.html"
"15","Shabazz Napier",2015,2020,"/players/n/napiesh01.html"
"16","Paul Napolitano",1949,1949,"/players/n/napolpa01.html"
"17","Bob Nash",1973,1979,"/players/n/nashbo01.html"
"18","Cotton Nash",1965,1968,"/players/n/nashco01.html"
"19","Steve Nash*",1997,2014,"/players/n/nashst01.html"
"20","Swen Nater",1974,1984,"/players/n/natersw01.html"
"21","Howard Nathan",1996,1996,"/players/n/nathaho01.html"
"22","Calvin Natt",1980,1990,"/players/n/nattca01.html"
"23","Kenny Natt",1981,1985,"/players/n/nattke01.html"
"24","Willie Naulls",1957,1966,"/players/n/naullwi01.html"
"25","Juan Carlos Navarro",2008,2008,"/players/n/navarju01.html"
"26","Maurice Ndour",2017,2017,"/players/n/ndourma01.html"
"27","Craig Neal",1989,1991,"/players/n/nealcr01.html"
"28","Gary Neal",2011,2017,"/players/n/nealga01.html"
"29","Jim Neal",1954,1955,"/players/n/nealji01.html"
"30","Lloyd Neal",1973,1979,"/players/n/nealll01.html"
"31","Ed Nealy",1983,1993,"/players/n/nealyed01.html"
"32","Nemanja Nedovic",2014,2014,"/players/n/nedovne01.html"
"33","Al Negratti",1947,1947,"/players/n/negraal01.html"
"34","Barry Nelson",1972,1972,"/players/n/nelsoba01.html"
"35","DeMarcus Nelson",2009,2009,"/players/n/nelsode01.html"
"36","Don Nelson*",1963,1976,"/players/n/nelsodo01.html"
"37","Jameer Nelson",2005,2018,"/players/n/nelsoja01.html"
"38","Louie Nelson",1974,1978,"/players/n/nelsolo01.html"
"39","Ron Nelson",1971,1971,"/players/n/nelsoro01.html"
"40","Ruben Nembhard",1997,1997,"/players/n/nembhru01.html"
"41","Dick Nemelka",1971,1971,"/players/n/nemeldi01.html"
"42","Tyrone Nesby",1999,2002,"/players/n/nesbyty01.html"
"43","Martin Nessley",1988,1988,"/players/n/nesslma01.html"
"44","Rasho Nesterovic",1999,2010,"/players/n/nestera01.html"
"45","Raul Neto",2016,2020,"/players/n/netora01.html"
"46","Bob Netolicky",1968,1976,"/players/n/netolbo01.html"
"47","Johnny Neumann",1972,1978,"/players/n/neumajo01.html"
"48","Paul Neumann",1962,1967,"/players/n/neumapa01.html"
"49","Chuck Nevitt",1983,1994,"/players/n/nevitch01.html"
"50","Melvin Newbern",1993,1993,"/players/n/newbeme01.html"
"51","Ivano Newbill",1995,1998,"/players/n/newbiiv01.html"
"52","Ira Newble",2001,2008,"/players/n/newblir01.html"
"53","Mike Newlin",1972,1982,"/players/n/newlimi01.html"
"54","Johnny Newman",1987,2002,"/players/n/newmajo01.html"
"55","Malik Newman",2020,2020,"/players/n/newmama01.html"
"56","Dave Newmark",1969,1971,"/players/n/newmada01.html"
"57","Bill Newton",1973,1974,"/players/n/newtobi01.html"
"58","Georges Niang",2017,2020,"/players/n/niangge01.html"
"59","Demetris Nichols",2008,2009,"/players/n/nichode01.html"
"60","Jack Nichols",1949,1958,"/players/n/nichoja01.html"
"61","Andrew Nicholson",2013,2017,"/players/n/nichoan01.html"
"62","Gaylon Nickerson",1997,1997,"/players/n/nickega01.html"
"63","Carl Nicks",1981,1983,"/players/n/nicksca01.html"
