"","Player","From","To","plyrprofs"
"1","Charles O'Bannon",1998,1999,"/players/o/obannch01.html"
"2","Ed O'Bannon",1996,1997,"/players/o/obanned01.html"
"3","John O'Boyle",1953,1953,"/players/o/oboyljo01.html"
"4","Bob O'Brien",1948,1949,"/players/o/obriebo01.html"
"5","J.J. O'Brien",2016,2016,"/players/o/obriejj01.html"
"6","Jim O'Brien",1974,1975,"/players/o/obrieji02.html"
"7","Jimmy O'Brien",1972,1975,"/players/o/obrieji01.html"
"8","Ralph O'Brien",1952,1953,"/players/o/obriera01.html"
"9","Johnny O'Bryant",2015,2018,"/players/o/obryajo01.html"
"10","Patrick O'Bryant",2007,2010,"/players/o/obryapa01.html"
"11","Dermie O'Connell",1949,1950,"/players/o/oconnde01.html"
"12","Andy O'Donnell",1950,1950,"/players/o/odonnan01.html"
"13","Buddy O'Grady",1947,1949,"/players/o/ogradbu01.html"
"14","Fran O'Hanlon",1971,1971,"/players/o/ohanlfr01.html"
"15","Dick O'Keefe",1948,1951,"/players/o/okeefdi01.html"
"16","Tommy O'Keefe",1951,1951,"/players/o/okeefto01.html"
"17","Mike O'Koren",1981,1988,"/players/o/okoremi01.html"
"18","Grady O'Malley",1970,1970,"/players/o/omallgr01.html"
"19","Jermaine O'Neal",1997,2014,"/players/o/onealje01.html"
"20","Shaquille O'Neal*",1993,2011,"/players/o/onealsh01.html"
"21","Royce O'Neale",2018,2020,"/players/o/onealro01.html"
"22","Mike O'Neill",1953,1953,"/players/o/oneilmi01.html"
"23","Kyle O'Quinn",2013,2020,"/players/o/oquinky01.html"
"24","Kevin O'Shea",1951,1953,"/players/o/osheake01.html"
"25","Garland O'Shields",1947,1947,"/players/o/oshiega01.html"
"26","Dan O'Sullivan",1991,1996,"/players/o/osullda01.html"
"27","Charles Oakley",1986,2004,"/players/o/oaklech01.html"
"28","Fabricio Oberto",2006,2011,"/players/o/obertfa01.html"
"29","Daniel Ochefu",2017,2017,"/players/o/ochefda01.html"
"30","Greg Oden",2009,2014,"/players/o/odengr01.html"
"31","Lamar Odom",2000,2013,"/players/o/odomla01.html"
"32","Bud Ogden",1970,1971,"/players/o/ogdenbu01.html"
"33","Ralph Ogden",1971,1971,"/players/o/ogdenra01.html"
"34","Alan Ogg",1991,1993,"/players/o/oggal01.html"
"35","Don Ohl",1961,1970,"/players/o/ohldo01.html"
"36","Tim Ohlbrecht",2013,2013,"/players/o/ohlbrti01.html"
"37","Semi Ojeleye",2018,2020,"/players/o/ojelese01.html"
"38","Emeka Okafor",2005,2018,"/players/o/okafoem01.html"
"39","Jahlil Okafor",2016,2020,"/players/o/okafoja01.html"
"40","Elie Okobo",2019,2020,"/players/o/okoboel01.html"
"41","Josh Okogie",2019,2020,"/players/o/okogijo01.html"
"42","KZ Okpala",2020,2020,"/players/o/okpalkz01.html"
"43","Mehmet Okur",2003,2012,"/players/o/okurme01.html"
"44","Victor Oladipo",2014,2020,"/players/o/oladivi01.html"
"45","Hakeem Olajuwon*",1985,2002,"/players/o/olajuha01.html"
"46","Mark Olberding",1976,1987,"/players/o/olberma01.html"
"47","Jawann Oldham",1981,1991,"/players/o/oldhaja01.html"
"48","John Oldham",1950,1951,"/players/o/oldhajo01.html"
"49","Frank Oleynick",1976,1977,"/players/o/oleynfr01.html"
"50","John Olive",1979,1980,"/players/o/olivejo01.html"
"51","Brian Oliver",1991,1998,"/players/o/olivebr01.html"
"52","Dean Oliver",2002,2003,"/players/o/olivede01.html"
"53","Jimmy Oliver",1992,1999,"/players/o/oliveji01.html"
"54","Kevin Ollie",1998,2010,"/players/o/ollieke01.html"
"55","Gene Ollrich",1950,1950,"/players/o/ollrige01.html"
"56","Michael Olowokandi",1999,2007,"/players/o/olowomi01.html"
"57","Bud Olsen",1963,1970,"/players/o/olsenbu01.html"
"58","Kelly Olynyk",2014,2020,"/players/o/olynyke01.html"
"59","Miye Oni",2020,2020,"/players/o/onimi01.html"
"60","Arinze Onuaku",2014,2017,"/players/o/onuakar01.html"
"61","Chinanu Onuaku",2017,2018,"/players/o/onuakch01.html"
"62","Barry Orms",1969,1970,"/players/o/ormsba01.html"
"63","Johnny Orr",1950,1950,"/players/o/orrjo01.html"
"64","Louis Orr",1981,1988,"/players/o/orrlo01.html"
"65","Jos<e9> Ortiz",1989,1990,"/players/o/ortizjo01.html"
"66","Daniel Orton",2012,2014,"/players/o/ortonda01.html"
"67","Chuck Osborne",1962,1962,"/players/o/osborch01.html"
"68","Cedi Osman",2018,2020,"/players/o/osmande01.html"
"69","Wally Osterkorn",1952,1955,"/players/o/osterwa01.html"
