"","Player","From","To","plyrprofs"
"1","Ivan Rabb",2018,2019,"/players/r/rabbiv01.html"
"2","Luther Rackley",1970,1974,"/players/r/rackllu01.html"
"3","Howie Rader",1949,1949,"/players/r/raderho01.html"
"4","Mark Radford",1982,1983,"/players/r/radfoma01.html"
"5","Wayne Radford",1979,1979,"/players/r/radfowa01.html"
"6","Dino Radja*",1994,1997,"/players/r/radjadi01.html"
"7","Vladimir Radmanovic",2002,2013,"/players/r/radmavl01.html"
"8","Aleksandar Radojevic",2000,2005,"/players/r/radojal01.html"
"9","Frank Radovich",1962,1962,"/players/r/radovfr01.html"
"10","Moe Radovich",1953,1953,"/players/r/radovmo01.html"
"11","Miroslav Raduljica",2014,2015,"/players/r/radulmi01.html"
"12","Ray Radziszewski",1958,1958,"/players/r/radzira01.html"
"13","Ray Ragelis",1952,1952,"/players/r/ragelra01.html"
"14","Sherwin Raiken",1953,1953,"/players/r/raikesh01.html"
"15","Ed Rains",1982,1983,"/players/r/rainsed01.html"
"16","Igor Rakocevic",2003,2003,"/players/r/rakocig01.html"
"17","Kurt Rambis",1982,1995,"/players/r/rambiku01.html"
"18","Peter John Ramos",2005,2005,"/players/r/ramospe01.html"
"19","Cal Ramsey",1960,1961,"/players/r/ramseca01.html"
"20","Frank Ramsey*",1955,1964,"/players/r/ramsefr01.html"
"21","Ray Ramsey",1949,1949,"/players/r/ramsera01.html"
"22","Mark Randall",1992,1995,"/players/r/randama01.html"
"23","Chasson Randle",2017,2020,"/players/r/randlch01.html"
"24","Julius Randle",2015,2020,"/players/r/randlju01.html"
"25","Anthony Randolph",2009,2014,"/players/r/randoan01.html"
"26","Shavlik Randolph",2006,2015,"/players/r/randosh01.html"
"27","Zach Randolph",2002,2018,"/players/r/randoza01.html"
"28","Wally Rank",1981,1981,"/players/r/rankwa01.html"
"29","Kelvin Ransey",1981,1986,"/players/r/ranseke01.html"
"30","Sam Ranzino",1952,1952,"/players/r/ranzisa01.html"
"31","Bobby Rascoe",1968,1970,"/players/r/rascobo01.html"
"32","Blair Rasmussen",1986,1993,"/players/r/rasmubl01.html"
"33","Xavier Rathan-Mayes",2018,2018,"/players/r/rathaxa01.html"
"34","George Ratkovicz",1950,1955,"/players/r/ratkoge01.html"
"35","Ed Ratleff",1974,1978,"/players/r/ratleed01.html"
"36","Mike Ratliff",1973,1974,"/players/r/ratlimi01.html"
"37","Theo Ratliff",1996,2011,"/players/r/ratlith01.html"
"38","Andy Rautins",2011,2011,"/players/r/rautian01.html"
"39","Leo Rautins",1984,1985,"/players/r/rautile01.html"
"40","Allan Ray",2007,2007,"/players/r/rayal01.html"
"41","Clifford Ray",1972,1981,"/players/r/raycl01.html"
"42","Don Ray",1950,1950,"/players/r/raydo01.html"
"43","James Ray",1981,1983,"/players/r/rayja01.html"
"44","Jim Ray",1957,1960,"/players/r/rayji01.html"
"45","Jimmy Rayl",1968,1969,"/players/r/raylji01.html"
"46","Craig Raymond",1969,1973,"/players/r/raymocr01.html"
"47","Connie Rea",1954,1954,"/players/r/reaco01.html"
"48","Joe Reaves",1974,1974,"/players/r/reavejo01.html"
"49","Josh Reaves",2020,2020,"/players/r/reavejo02.html"
"50","Željko Rebraca",2002,2006,"/players/r/rebraze01.html"
"51","Eldridge Recasner",1995,2002,"/players/r/recasel01.html"
"52","Michael Redd",2001,2012,"/players/r/reddmi01.html"
"53","Cam Reddish",2020,2020,"/players/r/reddica01.html"
"54","Frank Reddout",1954,1954,"/players/r/reddofr01.html"
"55","J.J. Redick",2007,2020,"/players/r/redicjj01.html"
"56","Marlon Redmond",1979,1980,"/players/r/redmoma01.html"
"57","Davon Reed",2018,2019,"/players/r/reedda01.html"
"58","Hub Reed",1959,1965,"/players/r/reedhu01.html"
"59","Justin Reed",2005,2007,"/players/r/reedju01.html"
"60","Ron Reed",1966,1967,"/players/r/reedro01.html"
"61","Willie Reed",2016,2018,"/players/r/reedwi02.html"
"62","Willis Reed*",1965,1974,"/players/r/reedwi01.html"
"63","Bryant Reeves",1996,2001,"/players/r/reevebr01.html"
"64","Khalid Reeves",1995,2000,"/players/r/reevekh01.html"
"65","Richie Regan",1956,1958,"/players/r/reganri01.html"
"66","Don Rehfeldt",1951,1952,"/players/r/rehfedo01.html"
"67","Billy Reid",1981,1981,"/players/r/reidbi01.html"
"68","Don Reid",1996,2003,"/players/r/reiddo01.html"
"69","J.R. Reid",1990,2001,"/players/r/reidjr01.html"
"70","Jim Reid",1968,1968,"/players/r/reidji01.html"
"71","Naz Reid",2020,2020,"/players/r/reidna01.html"
"72","Robert Reid",1978,1991,"/players/r/reidro01.html"
"73","Ryan Reid",2012,2012,"/players/r/reidry01.html"
"74","Jared Reiner",2005,2007,"/players/r/reineja01.html"
"75","Chick Reiser",1948,1950,"/players/r/reisech01.html"
"76","Richard Rellford",1988,1988,"/players/r/rellfri01.html"
"77","Terrence Rencher",1996,1996,"/players/r/renchte01.html"
"78","John Rennicke",1952,1952,"/players/r/rennijo01.html"
"79","Bob Rensberger",1947,1947,"/players/r/rensbro01.html"
"80","Efthimi Rentzias",2003,2003,"/players/r/rentzef01.html"
"81","Shawn Respert",1996,1999,"/players/r/respesh01.html"
"82","Kevin Restani",1975,1982,"/players/r/restake01.html"
"83","Cameron Reynolds",2019,2019,"/players/r/reynoca01.html"
"84","George Reynolds",1970,1970,"/players/r/reynoge01.html"
"85","Jerry Reynolds",1986,1996,"/players/r/reynoje01.html"
"86","Kendall Rhine",1968,1969,"/players/r/rhineke01.html"
"87","Gene Rhodes",1953,1953,"/players/r/rhodege01.html"
"88","Rodrick Rhodes",1998,2000,"/players/r/rhodero01.html"
"89","Glen Rice",1990,2004,"/players/r/ricegl01.html"
"90","Glen Rice",2014,2015,"/players/r/ricegl02.html"
"91","Chris Richard",2008,2010,"/players/r/richach01.html"
"92","Clint Richardson",1980,1987,"/players/r/richacl01.html"
"93","Jason Richardson",2002,2015,"/players/r/richaja01.html"
"94","Jeremy Richardson",2007,2009,"/players/r/richaje01.html"
"95","Josh Richardson",2016,2020,"/players/r/richajo01.html"
"96","Malachi Richardson",2017,2019,"/players/r/richama01.html"
"97","Micheal Ray Richardson",1979,1986,"/players/r/richami01.html"
"98","Norm Richardson",2002,2002,"/players/r/richano01.html"
"99","Pooh Richardson",1990,1999,"/players/r/richapo01.html"
"100","Quentin Richardson",2001,2013,"/players/r/richaqu01.html"
"101","Mitch Richmond*",1989,2002,"/players/r/richmmi01.html"
"102","John Richter",1960,1960,"/players/r/richtjo01.html"
"103","Dick Ricketts",1956,1958,"/players/r/rickedi01.html"
"104","Isaiah Rider",1994,2002,"/players/r/rideris01.html"
"105","Jackie Ridgle",1972,1972,"/players/r/ridglja01.html"
"106","Luke Ridnour",2004,2015,"/players/r/ridnolu01.html"
"107","Mel Riebe",1947,1949,"/players/r/riebeme01.html"
"108","Bob Riedy",1968,1968,"/players/r/riedybo01.html"
"109","Jim Riffey",1951,1951,"/players/r/riffeji01.html"
"110","Antoine Rigaudeau",2003,2003,"/players/r/rigauan01.html"
"111","Tom Riker",1973,1975,"/players/r/rikerto01.html"
"112","Bob Riley",1971,1971,"/players/r/rileybo01.html"
"113","Eric Riley",1994,1999,"/players/r/rileyer01.html"
"114","Pat Riley*",1968,1976,"/players/r/rileypa01.html"
"115","Ron Riley",1973,1976,"/players/r/rileyro01.html"
"116","Rich Rinaldi",1972,1974,"/players/r/rinalri01.html"
"117","Mike Riordan",1969,1977,"/players/r/riordmi01.html"
"118","Arnie Risen*",1949,1958,"/players/r/risenar01.html"
"119","Tex Ritter",1949,1951,"/players/r/rittete01.html"
"120","Ramón Rivas",1989,1989,"/players/r/rivasra01.html"
"121","Austin Rivers",2013,2020,"/players/r/riverau01.html"
"122","David Rivers",1989,1992,"/players/r/riverda01.html"
"123","Doc Rivers",1984,1996,"/players/r/riverdo01.html"
"124","Lee Robbins",1948,1949,"/players/r/robbile01.html"
