"","Player","From","To","plyrprofs"
"1","Arvydas Sabonis*",1996,2003,"/players/s/sabonar01.html"
"2","Domantas Sabonis",2017,2020,"/players/s/sabondo01.html"
"3","Robert Sacre",2013,2016,"/players/s/sacrero01.html"
"4","Ed Sadowski",1947,1950,"/players/s/sadowed01.html"
"5","Kenny Sailors",1947,1951,"/players/s/sailoke01.html"
"6","John Salley",1987,2000,"/players/s/sallejo01.html"
"7","John Salmons",2003,2015,"/players/s/salmojo01.html"
"8","Al Salvadori",1968,1968,"/players/s/salvaal01.html"
"9","Kevin Salvadori",1997,1998,"/players/s/salvake01.html"
"10","Soumaila Samake",2001,2003,"/players/s/samakso01.html"
"11","Luka Šamanic",2020,2020,"/players/s/samanlu01.html"
"12","Cheikh Samb",2008,2009,"/players/s/sambch01.html"
"13","Brandon Sampson",2019,2019,"/players/s/sampsbr01.html"
"14","JaKarr Sampson",2015,2020,"/players/s/sampsja02.html"
"15","Jamal Sampson",2003,2007,"/players/s/sampsja01.html"
"16","Ralph Sampson*",1984,1992,"/players/s/sampsra01.html"
"17","Samardo Samuels",2011,2013,"/players/s/samuesa01.html"
"18","Pepe Sánchez",2001,2003,"/players/s/sanchpe01.html"
"19","Al Sanders",1973,1973,"/players/s/sandeal01.html"
"20","Frankie Sanders",1979,1981,"/players/s/sandefr01.html"
"21","Jeff Sanders",1990,1993,"/players/s/sandeje01.html"
"22","Larry Sanders",2011,2017,"/players/s/sandela01.html"
"23","Melvin Sanders",2006,2006,"/players/s/sandeme01.html"
"24","Mike Sanders",1983,1993,"/players/s/sandemi01.html"
"25","Tom Sanders*",1961,1973,"/players/s/sandeto01.html"
"26","Ron Sanford",1972,1972,"/players/s/sanforo01.html"
"27","Daniel Santiago",2001,2005,"/players/s/santida01.html"
"28","Bob Santini",1956,1956,"/players/s/santibo01.html"
"29","Wayne Sappleton",1985,1985,"/players/s/sapplwa01.html"
"30","Dario Šaric",2017,2020,"/players/s/saricda01.html"
"31","Jason Sasser",1997,1999,"/players/s/sasseja01.html"
"32","Jeryl Sasser",2002,2003,"/players/s/sasseje01.html"
"33","Tomáš Satoranský",2017,2020,"/players/s/satorto01.html"
"34","Kenny Satterfield",2002,2003,"/players/s/satteke01.html"
"35","Pep Saul",1950,1955,"/players/s/saulpe01.html"
"36","Woody Sauldsberry",1958,1966,"/players/s/sauldwo01.html"
"37","Glynn Saulters",1969,1969,"/players/s/saultgl01.html"
"38","Fred Saunders",1975,1978,"/players/s/saundfr01.html"
"39","Don Savage",1952,1957,"/players/s/savagdo01.html"
"40","Predrag Savovic",2003,2003,"/players/s/savovpr01.html"
"41","Alan Sawyer",1951,1951,"/players/s/sawyeal01.html"
"42","Brian Scalabrine",2002,2012,"/players/s/scalabr01.html"
"43","Alex Scales",2006,2006,"/players/s/scaleal01.html"
"44","DeWayne Scales",1981,1984,"/players/s/scalede01.html"
"45","Frank Schade",1973,1973,"/players/s/schadfr01.html"
"46","Ben Schadler",1948,1948,"/players/s/schadbe01.html"
"47","Herm Schaefer",1949,1950,"/players/s/schaehe01.html"
"48","Billy Schaeffer",1974,1976,"/players/s/schaebi01.html"
"49","Bob Schafer",1956,1957,"/players/s/schafbo01.html"
"50","Ben Scharnus",1947,1949,"/players/s/scharbe01.html"
"51","Marv Schatzman",1950,1950,"/players/s/schatma01.html"
"52","Fred Schaus",1950,1954,"/players/s/schaufr01.html"
"53","Danny Schayes",1982,1999,"/players/s/schayda01.html"
"54","Dolph Schayes*",1950,1964,"/players/s/schaydo01.html"
"55","Ossie Schectman",1947,1947,"/players/s/schecos01.html"
"56","Steve Scheffler",1991,1997,"/players/s/schefst01.html"
"57","Tom Scheffler",1985,1985,"/players/s/schefto01.html"
"58","Dave Schellhase",1967,1968,"/players/s/schelda01.html"
"59","Luke Schenscher",2006,2007,"/players/s/schenlu01.html"
"60","Herb Scherer",1951,1952,"/players/s/scherhe01.html"
"61","Dwayne Schintzius",1991,1999,"/players/s/schindw01.html"
"62","Dale Schlueter",1969,1978,"/players/s/schluda01.html"
"63","Otto Schnellbacher",1949,1949,"/players/s/schneot01.html"
"64","Dick Schnittker",1951,1958,"/players/s/schnidi01.html"
"65","Russ Schoene",1983,1989,"/players/s/schoeru01.html"
"66","Admiral Schofield",2020,2020,"/players/s/schofad01.html"
"67","Dave Scholz",1970,1970,"/players/s/scholda01.html"
"68","Milt Schoon",1947,1950,"/players/s/schoomi01.html"
"69","Detlef Schrempf",1986,2001,"/players/s/schrede01.html"
"70","Dennis Schröder",2014,2020,"/players/s/schrode01.html"
"71","Howie Schultz",1950,1953,"/players/s/schulho01.html"
"72","Dick Schulz",1947,1950,"/players/s/schuldi01.html"
"73","Roger Schurig",1968,1968,"/players/s/schurro01.html"
"74","John Schweitz",1985,1987,"/players/s/schwejo01.html"
"75","Luis Scola",2008,2017,"/players/s/scolalu01.html"
"76","Fred Scolari",1947,1955,"/players/s/scolafr01.html"
"77","Alvin Scott",1978,1985,"/players/s/scottal01.html"
"78","Brent Scott",1997,1997,"/players/s/scottbr01.html"
"79","Byron Scott",1984,1997,"/players/s/scottby01.html"
"80","Charlie Scott*",1971,1980,"/players/s/scottch01.html"
"81","Dennis Scott",1991,2000,"/players/s/scottde01.html"
