"","Player","From","To","plyrprofs"
"1","Žan Tabak",1995,2001,"/players/t/tabakza01.html"
"2","Yuta Tabuse",2005,2005,"/players/t/tabusyu01.html"
"3","Chris Taft",2006,2006,"/players/t/taftch01.html"
"4","Sid Tanenbaum",1948,1949,"/players/t/tanensi01.html"
"5","Dragan Tarlac",2001,2001,"/players/t/tarladr01.html"
"6","Roy Tarpley",1987,1995,"/players/t/tarplro01.html"
"7","Levern Tart",1968,1971,"/players/t/tartle01.html"
"8","Earl Tatum",1977,1980,"/players/t/tatumea01.html"
"9","Jayson Tatum",2018,2020,"/players/t/tatumja01.html"
"10","Edy Tavares",2016,2017,"/players/t/tavarwa01.html"
"11","Anthony Taylor",1989,1989,"/players/t/tayloan01.html"
"12","Brian Taylor",1973,1982,"/players/t/taylobr01.html"
"13","Donell Taylor",2006,2007,"/players/t/taylodo01.html"
"14","Fatty Taylor",1970,1977,"/players/t/taylofa01.html"
"15","Fred Taylor",1971,1972,"/players/t/taylofr01.html"
"16","Isaiah Taylor",2017,2018,"/players/t/taylois01.html"
"17","Jay Taylor",1990,1990,"/players/t/tayloja01.html"
"18","Jeff Taylor",1983,1987,"/players/t/tayloje01.html"
"19","Jeffery Taylor",2013,2015,"/players/t/tayloje03.html"
"20","Jermaine Taylor",2010,2011,"/players/t/tayloje02.html"
"21","Johnny Taylor",1998,2000,"/players/t/taylojo01.html"
"22","Leonard Taylor",1990,1990,"/players/t/taylole01.html"
"23","Maurice Taylor",1998,2007,"/players/t/tayloma01.html"
"24","Mike Taylor",2009,2009,"/players/t/taylomi01.html"
"25","Oliver Taylor",1971,1974,"/players/t/taylool01.html"
"26","Ronald Taylor",1970,1972,"/players/t/tayloro01.html"
"27","Tyshawn Taylor",2013,2014,"/players/t/tayloty01.html"
"28","Vince Taylor",1983,1983,"/players/t/taylovi01.html"
"29","Terry Teagle",1983,1993,"/players/t/teaglte01.html"
"30","Jeff Teague",2010,2020,"/players/t/teaguje01.html"
"31","Marquis Teague",2013,2018,"/players/t/teaguma01.html"
"32","Mirza Teletovic",2013,2018,"/players/t/teletmi01.html"
"33","Sebastian Telfair",2005,2015,"/players/t/telfase01.html"
"34","Collis Temple",1975,1975,"/players/t/templco01.html"
"35","Garrett Temple",2010,2020,"/players/t/templga01.html"
"36","Miloš Teodosic",2018,2019,"/players/t/teodomi01.html"
"37","Ira Terrell",1977,1979,"/players/t/terreir01.html"
"38","Jared Terrell",2019,2019,"/players/t/terreja01.html"
"39","Carlos Terry",1981,1983,"/players/t/terryca01.html"
"40","Chuck Terry",1973,1977,"/players/t/terrych01.html"
"41","Claude Terry",1973,1978,"/players/t/terrycl01.html"
"42","Emanuel Terry",2019,2019,"/players/t/terryem01.html"
"43","Jason Terry",2000,2018,"/players/t/terryja01.html"
"44","Hasheem Thabeet",2010,2014,"/players/t/thabeha01.html"
"45","Tom Thacker",1964,1971,"/players/t/thackto01.html"
"46","Floyd Theard",1970,1970,"/players/t/thearfl01.html"
"47","Daniel Theis",2018,2020,"/players/t/theisda01.html"
"48","Reggie Theus",1979,1991,"/players/t/theusre01.html"
"49","Peter Thibeaux",1985,1986,"/players/t/thibepe01.html"
"50","Bill Thieben",1957,1958,"/players/t/thiebbi01.html"
"51","Justus Thigpen",1970,1974,"/players/t/thigpju01.html"
"52","David Thirdkill",1983,1987,"/players/t/thirdda01.html"
"53","Adonis Thomas",2014,2014,"/players/t/thomaad01.html"
"54","Billy Thomas",2005,2008,"/players/t/thomabi01.html"
"55","Carl Thomas",1992,1998,"/players/t/thomaca01.html"
"56","Charles Thomas",1992,1992,"/players/t/thomach01.html"
"57","Etan Thomas",2002,2011,"/players/t/thomaet01.html"
"58","Irving Thomas",1991,1991,"/players/t/thomair01.html"
"59","Isaiah Thomas",2012,2020,"/players/t/thomais02.html"
"60","Isiah Thomas*",1982,1994,"/players/t/thomais01.html"
"61","Jamel Thomas",2000,2001,"/players/t/thomaja01.html"
"62","James Thomas",2005,2006,"/players/t/thomaja02.html"
"63","Jim Thomas",1984,1991,"/players/t/thomaji01.html"
"64","Joe Thomas",1971,1971,"/players/t/thomajo01.html"
"65","John Thomas",1998,2006,"/players/t/thomajo02.html"
"66","Kenny Thomas",2000,2010,"/players/t/thomake01.html"
"67","Khyri Thomas",2019,2020,"/players/t/thomakh01.html"
"68","Kurt Thomas",1996,2013,"/players/t/thomaku01.html"
"69","Lance Thomas",2012,2019,"/players/t/thomala01.html"
"70","Malcolm Thomas",2012,2015,"/players/t/thomama01.html"
"71","Matt Thomas",2020,2020,"/players/t/thomama02.html"
"72","Ronald Thomas",1973,1976,"/players/t/thomaro01.html"
"73","Terry Thomas",1976,1976,"/players/t/thomate01.html"
"74","Tim Thomas",1998,2010,"/players/t/thomati01.html"
"75","Tyrus Thomas",2007,2015,"/players/t/thomaty01.html"
"76","Willis Thomas",1968,1968,"/players/t/thomawi01.html"
"77","Trey Thompkins",2012,2012,"/players/t/thomptr02.html"
"78","Bernard Thompson",1985,1989,"/players/t/thompbe01.html"
"79","Billy Thompson",1987,1992,"/players/t/thompbi01.html"
"80","Brooks Thompson",1995,1998,"/players/t/thompbr01.html"
"81","Corny Thompson",1983,1983,"/players/t/thompco01.html"
"82","David Thompson*",1976,1984,"/players/t/thompda01.html"
"83","Dijon Thompson",2006,2007,"/players/t/thompdi01.html"
"84","George Thompson",1970,1975,"/players/t/thompge01.html"
"85","Hollis Thompson",2014,2017,"/players/t/thompho01.html"
"86","Jack Thompson",1969,1969,"/players/t/thompja01.html"
"87","Jason Thompson",2009,2016,"/players/t/thompja02.html"
"88","John Thompson*",1965,1966,"/players/t/thompjo01.html"
"89","Kevin Thompson",1994,1994,"/players/t/thompke01.html"
"90","Klay Thompson",2012,2019,"/players/t/thompkl01.html"
"91","LaSalle Thompson",1983,1997,"/players/t/thompla01.html"
"92","Mychal Thompson",1979,1991,"/players/t/thompmy01.html"
"93","Mychel Thompson",2012,2012,"/players/t/thompmy02.html"
"94","Paul Thompson",1984,1986,"/players/t/thomppa01.html"
"95","Stephen Thompson",1992,1992,"/players/t/thompst01.html"
"96","Tristan Thompson",2012,2020,"/players/t/thomptr01.html"
"97","Skip Thoren",1968,1970,"/players/t/thoresk01.html"
"98","Rod Thorn*",1964,1971,"/players/t/thornro01.html"
