"","Player","From","To","plyrprofs"
"1","Edwin Ubiles",2012,2012,"/players/u/ubileed01.html"
"2","Ekpe Udoh",2011,2019,"/players/u/udohek01.html"
"3","Ime Udoka",2004,2011,"/players/u/udokaim01.html"
"4","Beno Udrih",2005,2017,"/players/u/udrihbe01.html"
"5","Roko Ukic",2009,2010,"/players/u/ukicro01.html"
"6","Tyler Ulis",2017,2019,"/players/u/ulisty01.html"
"7","Wes Unseld*",1969,1981,"/players/u/unselwe01.html"
"8","Hal Uplinger",1954,1954,"/players/u/uplinha01.html"
"9","Kelvin Upshaw",1989,1991,"/players/u/upshake01.html"
"10","Jarrod Uthoff",2017,2020,"/players/u/uthofja01.html"
"11","Ben Uzoh",2011,2012,"/players/u/uzohbe01.html"
