"","Player","From","To","plyrprofs"
"1","Stephen Vacendak",1968,1970,"/players/v/vacenst01.html"
"2","Jonas Valanciunas",2013,2020,"/players/v/valanjo01.html"
"3","Darnell Valentine",1982,1991,"/players/v/valenda01.html"
"4","Denzel Valentine",2017,2020,"/players/v/valende01.html"
"5","Ronnie Valentine",1981,1981,"/players/v/valenro01.html"
"6","John Vallely",1971,1972,"/players/v/vallejo01.html"
"7","Dick Van Arsdale",1966,1977,"/players/v/vanardi01.html"
"8","Tom Van Arsdale",1966,1977,"/players/v/vanarto01.html"
"9","Nick Van Exel",1994,2006,"/players/v/vanexni01.html"
"10","Keith Van Horn",1998,2006,"/players/v/vanhoke01.html"
"11","Norm Van Lier",1970,1979,"/players/v/vanlino01.html"
"12","Dennis Van Zant",1976,1976,"/players/v/vanzade01.html"
"13","Fred VanVleet",2017,2020,"/players/v/vanvlfr01.html"
"14","Gene Vance",1948,1952,"/players/v/vancege01.html"
"15","Logan Vander Velden",1996,1996,"/players/v/vandelo01.html"
"16","Jarred Vanderbilt",2019,2020,"/players/v/vandeja01.html"
"17","Ernie Vandeweghe",1950,1956,"/players/v/vandeer01.html"
"18","Kiki Vandeweghe",1981,1993,"/players/v/vandeki01.html"
"19","Nick Vanos",1986,1987,"/players/v/vanosni01.html"
"20","David Vanterpool",2001,2001,"/players/v/vanteda01.html"
"21","Ratko Varda",2002,2002,"/players/v/vardara01.html"
"22","Anderson Varejão",2005,2017,"/players/v/varejan01.html"
"23","Jarvis Varnado",2013,2014,"/players/v/varnaja01.html"
"24","Greivis Vásquez",2011,2017,"/players/v/vasqugr01.html"
"25","Chico Vaughn",1963,1970,"/players/v/vaughch01.html"
"26","David Vaughn",1975,1976,"/players/v/vaughda01.html"
"27","David Vaughn",1996,1999,"/players/v/vaughda02.html"
"28","Jacque Vaughn",1998,2009,"/players/v/vaughja01.html"
"29","Rashad Vaughn",2016,2018,"/players/v/vaughra01.html"
"30","Virgil Vaughn",1947,1947,"/players/v/vaughvi01.html"
"31","Loy Vaught",1991,2001,"/players/v/vaughlo01.html"
"32","Bob Verga",1968,1974,"/players/v/vergabo01.html"
"33","Pete Verhoeven",1982,1987,"/players/v/verhope01.html"
"34","Jan Veselý",2012,2014,"/players/v/veselja01.html"
"35","Gundars Vetra",1993,1993,"/players/v/vetragu01.html"
"36","João Vianna",1992,1992,"/players/v/viannjo01.html"
"37","Charlie Villanueva",2006,2016,"/players/v/villach01.html"
"38","Gabe Vincent",2020,2020,"/players/v/vincega01.html"
"39","Jay Vincent",1982,1990,"/players/v/vinceja01.html"
"40","Sam Vincent",1986,1992,"/players/v/vincesa01.html"
"41","Marcus Vinicius",2007,2008,"/players/v/vincima01.html"
"42","Fred Vinson",1995,2000,"/players/v/vinsofr01.html"
"43","Claude Virden",1973,1973,"/players/v/virdecl01.html"
"44","Gary Voce",1990,1990,"/players/v/vocega01.html"
"45","Floyd Volker",1950,1950,"/players/v/volkefl01.html"
"46","Alexander Volkov",1990,1992,"/players/v/volkoal01.html"
"47","Whitey Von Nieda",1950,1950,"/players/v/vonniwh01.html"
"48","Noah Vonleh",2015,2020,"/players/v/vonleno01.html"
"49","Jake Voskuhl",2001,2009,"/players/v/voskuja01.html"
"50","Danny Vranes",1982,1988,"/players/v/vraneda01.html"
"51","Slavko Vraneš",2004,2004,"/players/v/vranesl01.html"
"52","Stojko Vrankovic",1991,1999,"/players/v/vrankst01.html"
"53","Brett Vroman",1981,1981,"/players/v/vromabr01.html"
"54","Jackson Vroman",2005,2006,"/players/v/vromaja01.html"
"55","Nikola Vucevic",2012,2020,"/players/v/vucevni01.html"
"56","Sasha Vujacic",2005,2017,"/players/v/vujacsa01.html"
"57","Butch van Breda Kolff",1947,1950,"/players/v/vanbrbu01.html"
"58","Jan van Breda Kolff",1975,1983,"/players/v/vanbrja01.html"
