"","Player","From","To","plyrprofs"
"1","Dean Wade",2020,2020,"/players/w/wadede01.html"
"2","Dwyane Wade",2004,2019,"/players/w/wadedw01.html"
"3","Mark Wade",1988,1990,"/players/w/wadema01.html"
"4","Von Wafer",2006,2012,"/players/w/wafervo01.html"
"5","Clint Wager",1950,1950,"/players/w/wagercl01.html"
"6","Dajuan Wagner",2003,2007,"/players/w/wagneda02.html"
"7","Danny Wagner",1950,1950,"/players/w/wagneda01.html"
"8","Milt Wagner",1988,1991,"/players/w/wagnemi01.html"
"9","Moritz Wagner",2019,2020,"/players/w/wagnemo01.html"
"10","Phillip Wagner",1969,1969,"/players/w/wagneph01.html"
"11","Dion Waiters",2013,2020,"/players/w/waitedi01.html"
"12","Granville Waiters",1984,1988,"/players/w/waitegr01.html"
"13","Andre Wakefield",1979,1980,"/players/w/wakefan01.html"
"14","Neal Walk",1970,1977,"/players/w/walkne01.html"
"15","Andy Walker",1977,1977,"/players/w/walkean01.html"
"16","Antoine Walker",1997,2008,"/players/w/walkean02.html"
"17","Brady Walker",1949,1952,"/players/w/walkebr01.html"
"18","Chet Walker*",1963,1975,"/players/w/walkech01.html"
"19","Darrell Walker",1984,1993,"/players/w/walkeda01.html"
"20","Foots Walker",1975,1984,"/players/w/walkefo01.html"
"21","Henry Walker",2009,2015,"/players/w/walkebi01.html"
"22","Horace Walker",1962,1962,"/players/w/walkeho01.html"
"23","Jimmy Walker",1968,1976,"/players/w/walkeji01.html"
"24","Kemba Walker",2012,2020,"/players/w/walkeke02.html"
"25","Kenny Walker",1987,1995,"/players/w/walkeke01.html"
"26","Lonnie Walker",2019,2020,"/players/w/walkelo01.html"
"27","Phil Walker",1978,1978,"/players/w/walkeph01.html"
"28","Samaki Walker",1997,2006,"/players/w/walkesa01.html"
"29","Wally Walker",1977,1984,"/players/w/walkewa01.html"
"30","John Wall",2011,2019,"/players/w/walljo01.html"
"31","Ben Wallace",1997,2012,"/players/w/wallabe01.html"
"32","Gerald Wallace",2002,2015,"/players/w/wallage01.html"
