"","Player","From","To","plyrprofs"
"1","Guerschon Yabusele",2018,2019,"/players/y/yabusgu01.html"
"2","Vincent Yarbrough",2003,2003,"/players/y/yarbrvi01.html"
"3","George Yardley*",1954,1960,"/players/y/yardlge01.html"
"4","Barry Yates",1972,1972,"/players/y/yatesba01.html"
"5","Wayne Yates",1962,1962,"/players/y/yateswa01.html"
"6","Charlie Yelverton",1972,1972,"/players/y/yelvech01.html"
"7","Rich Yonakor",1982,1982,"/players/y/yonakri01.html"
"8","Danny Young",1985,1995,"/players/y/youngda01.html"
"9","James Young",2015,2018,"/players/y/youngja01.html"
"10","Joe Young",2016,2018,"/players/y/youngjo01.html"
"11","Korleone Young",1999,1999,"/players/y/youngko01.html"
"12","Michael Young",1985,1990,"/players/y/youngmi01.html"
"13","Nick Young",2008,2019,"/players/y/youngni01.html"
"14","Perry Young",1987,1987,"/players/y/youngpe01.html"
"15","Sam Young",2010,2013,"/players/y/youngsa01.html"
"16","Thaddeus Young",2008,2020,"/players/y/youngth01.html"
"17","Tim Young",2000,2000,"/players/y/youngti01.html"
"18","Trae Young",2019,2020,"/players/y/youngtr01.html"
"19","Sun Yue",2009,2009,"/players/y/yuesu01.html"
