"","Tm","roster"
"1","ATL","/players/b/barketo01.html, /players/b/brownjo01.html, /players/c/charlke01.html, /players/d/davisro01.html, /players/d/dentora01.html, /players/d/dickehe01.html, /players/d/drewjo01.html, /players/h/hawesst01.html, /players/h/hendeto01.html, /players/h/hillar01.html, /players/h/hudsolo01.html, /players/m/meriwjo01.html, /players/r/robintr01.html, /players/s/sojoumi01.html, /players/t/terrycl01.html, /players/w/willobi01.html"
"2","BOS","/players/a/ardji01.html, /players/b/bosweto01.html, /players/c/cookno01.html, /players/c/cowenda01.html, /players/h/havlijo01.html, /players/k/kuberst01.html, /players/r/rowecu01.html, /players/s/saundfr01.html, /players/s/scottch01.html, /players/s/stacoke01.html, /players/w/whitejo01.html, /players/w/wickssi01.html, /players/w/wilsobo03.html"
"3","BUF","/players/a/abdulza01.html, /players/a/adamsdo01.html, /players/a/averibi01.html, /players/d/dantlad01.html, /players/d/digreer01.html, /players/f/fostefr01.html, /players/g/gerargu01.html, /players/g/gianejo01.html, /players/j/johnsge02.html, /players/m/malonmo01.html, /players/m/mayescl01.html, /players/m/mcadobo01.html, /players/m/mcmilto01.html, /players/n/neumajo01.html, /players/p/priceji01.html, /players/s/shumajo01.html, /players/s/smithra01.html, /players/t/terrycl01.html, /players/w/willich02.html"
"4","CHI","/players/b/boerwto01.html, /players/f/fernser01.html, /players/g/gilmoar01.html, /players/h/hicksph01.html, /players/h/hollawi01.html, /players/j/johnsmi01.html, /players/k/kroppto01.html, /players/l/laskojo01.html, /players/l/lovebo01.html, /players/m/marinja01.html, /players/m/maysc01.html, /players/m/mccrapa01.html, /players/m/mengejo01.html, /players/p/pondecl01.html, /players/s/smithwi02.html, /players/s/starrke01.html, /players/v/vanlino01.html"
"5","CLE","/players/b/breweji01.html, /players/b/brokaga01.html, /players/c/carrau01.html, /players/c/choneji01.html, /players/c/cleamji01.html, /players/g/garrero01.html, /players/h/howarmo01.html, /players/l/lambejo01.html, /players/r/russeca02.html, /players/s/smithbi02.html, /players/s/smithel01.html, /players/s/snydedi01.html, /players/t/thurmna01.html, /players/w/walkefo01.html, /players/w/willich03.html"
"6","DEN","/players/b/beckby01.html, /players/c/calvima01.html, /players/g/gerargu01.html, /players/i/isselda01.html, /players/j/jonesbo01.html, /players/m/mcclate01.html, /players/p/priceji01.html, /players/s/silaspa01.html, /players/t/taylofa01.html, /players/t/thompda01.html, /players/t/towemo01.html, /players/w/webstma01.html, /players/w/willich02.html, /players/w/wisewi01.html"
"7","DET","/players/b/barnema01.html, /players/b/brownro02.html, /players/c/carrml01.html, /players/c/cashco01.html, /players/d/douglle01.html, /players/e/eberhal01.html, /players/f/fordch01.html, /players/l/laniebo01.html, /players/m/moneyer01.html, /players/p/porteho01.html, /players/p/porteke01.html, /players/s/selleph01.html, /players/s/simpsra01.html, /players/t/trappge01.html"
"8","GSW","/players/b/barryri01.html, /players/d/davisdw01.html, /players/d/dickede01.html, /players/d/dudlech01.html, /players/j/johnsch01.html, /players/j/johnsge02.html, /players/m/mcneila01.html, /players/p/parisro01.html, /players/p/parkeso01.html, /players/r/raycl01.html, /players/r/rogerma01.html, /players/s/smithph01.html, /players/w/wilkeja01.html, /players/w/willigu01.html"
"9","HOU","/players/h/hicksph01.html, /players/j/johnsjo01.html, /players/j/jonesdw01.html, /players/k/kennego01.html, /players/k/kunneke01.html, /players/l/lucasjo01.html, /players/m/malonmo01.html, /players/m/murphca01.html, /players/n/newlimi01.html, /players/o/owensto01.html, /players/r/ratleed01.html, /players/t/tomjaru01.html, /players/w/whiteru01.html, /players/w/wohlda01.html"
"10","IND","/players/a/anderje01.html, /players/b/benneme01.html, /players/b/busedo01.html, /players/e/elmorle01.html, /players/e/elstoda01.html, /players/f/flynnmi01.html, /players/g/greenst01.html, /players/h/hackeru01.html, /players/h/hillmda01.html, /players/j/joneswi02.html, /players/k/knighbi01.html, /players/l/lewisfr02.html, /players/m/mayescl01.html, /players/r/robisda01.html, /players/r/roundda01.html, /players/w/willijo01.html"
"11","KCK","/players/b/barrmi01.html, /players/b/bigelbo01.html, /players/b/boonero01.html, /players/e/eakinji01.html, /players/h/hansegl01.html, /players/j/johnsol01.html, /players/l/laceysa01.html, /players/m/mccaran01.html, /players/r/robinbi01.html, /players/t/taylobr01.html, /players/w/washiri01.html, /players/w/wedmasc01.html"
"12","LAL","/players/a/abdulka01.html, /players/a/abernto01.html, /players/a/allenlu01.html, /players/c/calvima01.html, /players/c/chanedo01.html, /players/f/forddo01.html, /players/k/kupeccj01.html, /players/l/lamarbo01.html, /players/m/murphal01.html, /players/n/neumajo01.html, /players/r/roberma01.html, /players/r/russeca01.html, /players/t/tatumea01.html, /players/w/warneco01.html, /players/w/washike01.html"
"13","MIL","/players/b/bridgju01.html, /players/b/brokaga01.html, /players/b/bucknqu01.html, /players/c/cartefr01.html, /players/d/dandrbo01.html, /players/d/davismi02.html, /players/e/englial01.html, /players/g/garrero01.html, /players/l/lloydsc01.html, /players/m/mcdongl01.html, /players/m/meyerda01.html, /players/n/natersw01.html, /players/p/priceji01.html, /players/r/restake01.html, /players/s/smithel01.html, /players/w/waltoll01.html, /players/w/wintebr01.html"
"14","NOJ","/players/b/behagro01.html, /players/b/boydfr01.html, /players/c/colemec01.html, /players/g/goodrga01.html, /players/g/griffpa01.html, /players/h/howarmo01.html, /players/j/jamesaa01.html, /players/k/kelleri01.html, /players/m/maravpe01.html, /players/m/mcelrji01.html, /players/m/mooreot01.html, /players/s/stallbu01.html, /players/w/walkean01.html, /players/w/willina01.html"
"15","NYK","/players/b/beardbu01.html, /players/b/bradlbi01.html, /players/b/burdeti01.html, /players/d/davisme01.html, /players/f/fraziwa01.html, /players/g/gianejo01.html, /players/h/haywosp01.html, /players/j/jacksph01.html, /players/l/laytomo01.html, /players/m/mcadobo01.html, /players/m/mcmilto01.html, /players/m/mcmilji01.html, /players/m/meminde01.html, /players/m/monroea01.html, /players/s/sheltlo01.html, /players/w/walkne01.html"
"16","NYN","/players/a/architi01.html, /players/b/bantomi01.html, /players/b/basseti01.html, /players/d/danieme01.html, /players/d/davisme01.html, /players/f/foxji01.html, /players/h/hackeru01.html, /players/h/hawkiro01.html, /players/h/hugheki01.html, /players/j/jonesri01.html, /players/l/lovebo01.html, /players/m/mcneila01.html, /players/s/skinnal01.html, /players/t/terrych01.html, /players/v/vanbrja01.html, /players/w/williea01.html, /players/w/willijo01.html, /players/w/wohlda01.html"
"17","PHI","/players/b/barneji02.html, /players/b/bibbyhe01.html, /players/b/bryanjo01.html, /players/c/cartefr01.html, /players/c/catchha01.html, /players/c/collido01.html, /players/d/dawkida01.html, /players/d/dunlemi01.html, /players/e/ervinju01.html, /players/f/freewo01.html, /players/f/furlote01.html, /players/j/jonesca01.html, /players/m/mcginge01.html, /players/m/mixst01.html"
"18","PHO","/players/a/adamsal01.html, /players/a/awtrede01.html, /players/e/erickke01.html, /players/f/feherbu01.html, /players/h/heardga01.html, /players/l/leero01.html, /players/p/perrycu01.html, /players/s/schluda01.html, /players/s/soberri01.html, /players/t/terreir01.html, /players/v/vanardi01.html, /players/v/vanarto01.html, /players/w/westppa01.html"
"19","POR","/players/c/calhoco01.html, /players/d/davisjo01.html, /players/g/gillihe01.html, /players/g/grossbo01.html, /players/h/hollili01.html, /players/j/jonesro01.html, /players/l/lucasma01.html, /players/m/mayescl01.html, /players/n/nealll01.html, /players/s/steella01.html, /players/t/twardda01.html, /players/w/walkewa01.html, /players/w/waltobi01.html"
"20","SAS","/players/b/bristal01.html, /players/c/calvima01.html, /players/d/dantomi01.html, /players/d/dampilo01.html, /players/d/dietrco01.html, /players/g/galemi01.html, /players/g/gervige01.html, /players/k/karlge01.html, /players/k/kenonla01.html, /players/n/nelsolo01.html, /players/o/olberma01.html, /players/p/paultbi01.html, /players/s/silasja01.html, /players/w/wardhe01.html"
"21","SEA","/players/b/bantomi01.html, /players/b/barnhno01.html, /players/b/brownfr01.html, /players/b/burleto01.html, /players/g/grayle01.html, /players/g/greenmi01.html, /players/j/johnsde01.html, /players/l/lovebo01.html, /players/n/norwowi01.html, /players/o/oleynfr01.html, /players/s/sealsbr01.html, /players/t/tolsode01.html, /players/w/wattssl01.html, /players/w/weathni01.html, /players/w/wilkebo01.html"
"22","WSB","/players/b/bingda01.html, /players/c/cheniph01.html, /players/g/grayle01.html, /players/g/greveke01.html, /players/h/hayesel01.html, /players/h/hendeto01.html, /players/j/jonesji01.html, /players/k/kupchmi01.html, /players/p/pacejo01.html, /players/r/riordmi01.html, /players/r/robintr01.html, /players/u/unselwe01.html, /players/w/weathni01.html, /players/w/weissbo01.html, /players/w/wrighla01.html"
